Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMN2A_1328,AAZ58817.1,None,"DNA polymerase III, beta subunit",PMM0001,CAE18460.1,dnaN,"DNA polymerase III, beta chain",4.67420E-144,,,,,,,,,,
PMN2A_1329,AAZ58818.1,None,RNA metabolism-related protein,PMM0002,CAE18461.1,None,conserved hypothetical protein,3.57394E-76,,,,,,,,,,
PMN2A_1330,AAZ58819.1,None,phosphoribosylformylglycinamidine synthase subunit II,PMM0003,CAE18462.1,purL,phosphoribosylformylglycinamidine synthetase II,0.00000E+00,,,,,,,,,,
PMN2A_1331,AAZ58820.1,None,amidophosphoribosyltransferase,PMM0004,CAE18463.1,purF,Glutamine amidotransferase class-II:Phosphoribosyl transferase,0.00000E+00,PMM1606,CAE20065.1,glmS,Glutamine--fructose-6-phosphate transaminase (isomerizing),4.99358E-14,,,,,
PMN2A_1332,AAZ58821.1,None,DNA topoisomerase IV subunit A,PMM0005,CAE18464.1,None,"DNA gyrase/topoisomerase IV, subunit A",0.00000E+00,PMM1063,CAE19522.1,gyrA,"DNA gyrase/topoisomerase IV, subunit A",0.00000E+00,,,,,
PMN2A_1333,AAZ58822.1,None,TPR repeat,PMM0006,CAE18465.1,None,conserved hypothetical protein,2.84682E-58,,,,,,,,,,
PMN2A_1334,AAZ58823.1,None,conserved hypothetical protein,PMM0007,CAE18466.1,None,conserved hypothetical protein,3.81948E-125,,,,,,,,,,
PMN2A_1335,AAZ58824.1,None,uncharacterized conserved membrane protein,PMM0008,CAE18467.1,None,conserved hypothetical protein,8.47370E-143,,,,,,,,,,
PMN2A_1336,AAZ58825.1,None,antitermination protein NusB,PMM0009,CAE18468.1,nusB,Antitermination protein NusB,2.13261E-51,,,,,,,,,,
PMN2A_1337,AAZ58826.1,None,signal recognition particle-docking protein FtsY,PMM0010,CAE18469.1,ftsY,signal recognition particle docking protein FtsY,7.14333E-167,PMM1286,CAE19745.1,ffh,signal recognition particle protein (SRP54),8.22407E-42,,,,,
PMN2A_1338,AAZ58827.1,None,serine phosphatase,PMM0011,CAE18470.1,None,Protein phosphatase 2C domain,5.05570E-145,,,,,,,,,,
PMN2A_1339,AAZ58828.1,None,argininosuccinate lyase,PMM0012,CAE18471.1,argH,Fumarate lyase:Delta crystallin,0.00000E+00,PMM1465,CAE19924.1,purB,Fumarate lyase:Adenylosuccinate lyase,3.93544E-12,,,,,
PMN2A_1340,AAZ58829.1,None,RNA-binding region RNP-1 (RNA recognition motif),PMM1376,CAE19835.1,rbpD,RNA-binding protein RbpD,1.30961E-33,,,,,,,,,,
