Locus tag,Protein ID,Gene,Protein name
PMM0030,CAE18489.1,None,possible Transcription factor TFIID (or TATA-b
PMM0038,CAE18497.1,None,hypothetical
PMM1800,CAP16302.1,None,Conserved hypothetical protein
PMM2021,CAX37110.1,None,Hypothetical protein
PMM1801,CAP16303.1,None,Conserved hypothetical protein
PMM1802,CAP16304.1,None,Conserved hypothetical protein
PMM0062,CAE18521.1,psbX,photosystem II PsbX protein
PMM0066,CAE18525.1,None,conserved hypothetical protein
PMM0074,CAE18533.1,None,conserved hypothetical
PMM0078,CAE18537.1,None,possible 4'-phosphopantetheinyl transferase family protein
PMM1804,CAP16306.1,None,Conserved hypothetical protein
PMM0094,CAE18553.1,None,conserved hypothetical protein
PMM0111,CAE18570.1,None,conserved hypothetical protein
PMM0126,CAE18585.1,None,possible Herpesvirus UL6 like
PMM0127,CAE18586.1,None,possible Signal peptide binding domain
PMM0162,CAE18621.1,None,hypothetical
PMM0210,CAE18669.1,None,possible (AF128446) repeat motif protein
PMM0212,CAE18671.1,None,conserved hypothetical protein
PMM0213,CAE18672.1,sbtA,putative sodium-dependent bicarbonate transporter
PMM0237,CAE18696.1,None,conserved hypothetical protein
PMM0243,CAE18702.1,None,possible Thy1 protein homolog
PMM0287,CAE18746.1,folK,possible 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
PMM1807,CAP16311.1,None,Conserved hypothetical protein
PMM0307,CAE18766.1,None,hypothetical
PMM0317,CAE18776.1,psbM,possible Photosystem II reaction center M protein (PsbM)
PMM1808,CAP16312.1,None,Conserved hypothetical protein
PMM0332,CAE18791.1,None,possible Rhomboid family
PMM1809,CAP16313.1,None,Conserved hypothetical protein
PMM1810,CAP16314.1,None,Conserved hypothetical protein
PMM1811,CAP16315.1,None,Conserved hypothetical protein
PMM0335,CAE18794.1,None,possible NADH-PLASTOQUINONE OXIDOREDUCTASE CHAIN 5
PMM1812,CAP16316.1,None,Conserved hypothetical protein
PMM2029,CAX37111.1,None,Hypothetical protein
PMM1813,CAP16317.1,None,Conserved hypothetical protein
PMM1814,CAP16318.1,None,Conserved hypothetical protein
PMM1815,CAP16319.1,None,Conserved hypothetical protein
PMM0342,CAE18801.1,None,possible Helper component proteinase
PMM1816,CAP16320.1,None,Conserved hypothetical protein
PMM1817,CAP16321.1,None,protein family PM-16
PMM0344,CAE18803.1,None,possible Influenza non-structural protein (NS2
PMM1818,CAP16322.1,None,Conserved hypothetical protein
PMM1819,CAP16323.1,None,Conserved hypothetical protein
PMM0348,CAE18807.1,None,possible Spectrin repeat
PMM0350,CAE18809.1,None,possible TIR domain
PMM1820,CAP16324.1,None,Conserved hypothetical protein
PMM0351,CAE18810.1,None,"possible Small, acid-soluble spore proteins, a"
PMM0353,CAE18812.1,None,Glycosyl transferase family 11
PMM0354,CAE18813.1,None,possible Glycosyl transferase
PMM1821,CAP16325.1,None,Hypothetical protein
PMM1822,CAP16326.1,None,Conserved hypothetical protein
PMM0355,CAE18814.1,None,conserved hypothetical protein
PMM1823,CAP16327.1,None,Hypothetical protein
PMM1824,CAP16328.1,None,Conserved hypothetical protein
PMM0356,CAE18815.1,None,proline iminopeptidase
PMM1825,CAP16329.1,None,Conserved hypothetical protein
PMM0357,CAE18816.1,None,TENA/THI-4 protein
PMM0358,CAE18817.1,thiD,Phosphomethylpyrimidine kinase
PMM0359,CAE18818.1,None,hypothetical
PMM1826,CAP16330.1,None,Conserved hypothetical protein
PMM0361,CAE18820.1,None,possible Phosphoenolpyruvate carboxykinase
PMM0362,CAE18821.1,None,hypothetical
PMM0363,CAE18822.1,None,possible MarR family
PMM1827,CAP16331.1,None,Hypothetical protein
PMM1828,CAP16332.1,None,Hypothetical protein
PMM0365,CAE18824.1,None,possible DsrE-like protein
PMM0366,CAE18825.1,None,Type-1 copper (blue) domain
PMM1829,CAP16333.1,None,Conserved hypothetical protein
PMM2033,CAX37112.1,None,Hypothetical protein
PMM2034,CAX37113.1,None,Hypothetical protein
PMM2035,CAX37114.1,None,Hypothetical protein
PMM2036,CAX37115.1,None,Hypothetical protein
PMM1830,CAP16334.1,None,Hypothetical protein
PMM1831,CAP16335.1,None,Conserved hypothetical protein
PMM1832,CAP16336.1,None,Conserved hypothetical protein
PMM1833,CAP16337.1,None,Hypothetical protein
PMM1834,CAP16338.1,None,Hypothetical protein
PMM0369,CAE18828.1,None,possible Ribosomal protein S14p/S29e
PMM0370,CAE18829.1,None,"putative cyanate ABC transporter, substrate binding protein"
PMM0371,CAE18830.1,None,putative cyanate ABC transporter
PMM0375,CAE18834.1,None,possible Type II intron maturase
PMM0376,CAE18835.1,None,hypothetical
PMM0377,CAE18836.1,None,hypothetical
PMM1835,CAP16339.1,None,Hypothetical protein
PMM1836,CAP16340.1,None,Hypothetical protein
PMM1837,CAP16341.1,None,Hypothetical protein
PMM1838,CAP16342.1,None,Hypothetical protein
PMM0379,CAE18838.1,None,hypothetical
PMM0380,CAE18839.1,None,conserved hypothetical protein
PMM1839,CAP16343.1,None,Hypothetical protein
PMM0381,CAE18840.1,None,hypothetical
PMM0382,CAE18841.1,None,possible Ribosomal RNA adenine dimethylase
PMM1840,CAP16344.1,None,Conserved hypothetical protein
