[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_0002],[protein_id=CAE20177.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0003],[protein_id=AHF62429.1],[gene=None],[protein=hypothetical protein],[evalue=1.98923E-90]
[locus_tag=PMT_0003],[protein_id=CAE20178.1],[gene=purL],[protein=phosphoribosylformylglycinamide synthetase II],[locus_tag=Syncc8109_0004],[protein_id=AHF62430.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthase II],[evalue=0.00000E+00]
[locus_tag=PMT_0004],[protein_id=CAE20179.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[locus_tag=Syncc8109_0005],[protein_id=AHF62431.1],[gene=purF],[protein=amidophosphoribosyltransferase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0151],[protein_id=AHF62571.1],[gene=glmS],"[protein=glucosamine--fructose-6-phosphate aminotransferase, isomerizing]",[evalue=2.02124E-17]
[locus_tag=PMT_0005],[protein_id=CAE20180.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=Syncc8109_0006],[protein_id=AHF62432.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=Syncc8109_2037],[protein_id=AHF64378.1],[gene=gyrA],"[protein=DNA gyrase, A subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_0006],[protein_id=CAE20181.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0007],[protein_id=AHF62433.1],[gene=None],[protein=hypothetical protein],[evalue=6.66189E-118]
[locus_tag=PMT_0007],[protein_id=CAE20182.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0008],[protein_id=AHF62434.1],[gene=None],[protein=4Fe-4S cluster binding protein],[evalue=2.83533E-165]
[locus_tag=PMT_0008],[protein_id=CAE20183.1],[gene=None],[protein=None],[locus_tag=Syncc8109_0009],[protein_id=AHF62435.1],[gene=None],[protein=hypothetical protein],[evalue=2.08130E-47]
[locus_tag=PMT_0009],[protein_id=CAE20184.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0010],[protein_id=AHF62436.1],[gene=None],[protein=hypothetical protein],[evalue=5.47742E-154]
[locus_tag=PMT_0010],[protein_id=CAE20185.1],[gene=nusB],[protein=Antitermination protein NusB],[locus_tag=Syncc8109_0011],[protein_id=AHF62437.1],[gene=None],[protein=NusB family protein],[evalue=9.25521E-88]
[locus_tag=PMT_0011],[protein_id=CAE20186.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[locus_tag=Syncc8109_0012],[protein_id=AHF62438.1],[gene=ftsY],[protein=signal recognition particle-docking protein FtsY],[evalue=0.00000E+00],[locus_tag=Syncc8109_1847],[protein_id=AHF64199.1],[gene=ffh],[protein=signal recognition particle protein],[evalue=7.09420E-33]
[locus_tag=PMT_0012],[protein_id=CAE20187.1],[gene=None],[protein=Protein phosphatase 2C domain],[locus_tag=Syncc8109_0013],[protein_id=AHF62439.1],[gene=None],[protein=serine phosphatase],[evalue=0.00000E+00]
[locus_tag=PMT_0013],[protein_id=CAE20188.1],[gene=argH],[protein=Fumarate lyase:Delta crystallin],[locus_tag=Syncc8109_0014],[protein_id=AHF62440.1],[gene=argH],[protein=argininosuccinate lyase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2289],[protein_id=AHF64615.1],[gene=purB],[protein=adenylosuccinate lyase],[evalue=3.96252E-13]
[locus_tag=PMT_0014],[protein_id=CAE20189.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[locus_tag=Syncc8109_0015],[protein_id=AHF62441.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=5.34345E-57],[locus_tag=Syncc8109_1142],[protein_id=AHF63513.1],[gene=None],[protein=RNA-binding protein],[evalue=1.12202E-31],[locus_tag=Syncc8109_0982],[protein_id=AHF63356.1],[gene=rbpD],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=1.63564E-27]
[locus_tag=PMT_0015],[protein_id=CAE20190.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0016],[protein_id=AHF62442.1],[gene=None],[protein=uncharacterized protein family UPF0034],[evalue=0.00000E+00],[locus_tag=Syncc8109_2124],[protein_id=AHF64461.1],[gene=None],[protein=Dihydrouridine synthase TIM-barrel protein nifR3],[evalue=6.13056E-18]
[locus_tag=PMT_0016],[protein_id=CAE20191.1],[gene=None],[protein=Domain of unknown function DUF25],[locus_tag=Syncc8109_0017],[protein_id=AHF62443.1],[gene=None],[protein=Methionine sulfoxide reductase B],[evalue=1.19860E-86],[locus_tag=Syncc8109_2343],[protein_id=AHF64664.1],[gene=None],[protein=Methionine sulfoxide reductase B],[evalue=2.18233E-41]
[locus_tag=PMT_0017],[protein_id=CAE20192.1],[gene=None],[protein=conserved hypohetical protein],[locus_tag=Syncc8109_0018],[protein_id=AHF62444.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_0018],[protein_id=CAE20193.1],[gene=pilC],[protein=pili biogenesis protein],[locus_tag=Syncc8109_0019],[protein_id=AHF62445.1],[gene=None],[protein=Type II secretory pathway component PulF-like protein],[evalue=1.03568E-18]
[locus_tag=PMT_0021],[protein_id=CAE20196.1],[gene=grpE],[protein=Heat shock protein GrpE],[locus_tag=Syncc8109_0022],[protein_id=AHF62448.1],[gene=grpE],[protein=putative heat shock protein GrpE],[evalue=2.01893E-98]
[locus_tag=PMT_0022],[protein_id=CAE20197.1],[gene=dnaJ],[protein=DnaJ protein],[locus_tag=Syncc8109_0023],[protein_id=AHF62449.1],[gene=dnaJ],[protein=Heat shock protein DnaJ],[evalue=0.00000E+00],[locus_tag=Syncc8109_1269],[protein_id=AHF63636.1],[gene=dnaJ2],[protein=Heat shock protein DnaJ-like protein],[evalue=1.10152E-23],[locus_tag=Syncc8109_0558],[protein_id=AHF62945.1],[gene=dnaJ3],[protein=Heat shock protein DnaJ-like protein],[evalue=5.68983E-23]
[locus_tag=PMT_0023],[protein_id=CAE20198.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0024],[protein_id=AHF62450.1],[gene=None],[protein=hypothetical protein],[evalue=1.18107E-26]
[locus_tag=PMT_0024],[protein_id=CAE20199.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0025],[protein_id=AHF62451.1],[gene=None],[protein=GTPase EngC],[evalue=1.81355E-116]
[locus_tag=PMT_0025],[protein_id=CAE20200.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0026],[protein_id=AHF62452.1],[gene=None],[protein=hypothetical protein],[evalue=6.13103E-64]
[locus_tag=PMT_0026],[protein_id=CAE20201.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[locus_tag=Syncc8109_0027],[protein_id=AHF62453.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[evalue=1.00667E-153]
[locus_tag=PMT_0027],[protein_id=CAE20202.1],[gene=murC],[protein=Probable UDP-N-acetylmuramate-alanine ligase],[locus_tag=Syncc8109_0028],[protein_id=AHF62454.1],[gene=murC],[protein=UDP-N-acetylmuramate--alanine ligase],[evalue=0.00000E+00]
[locus_tag=PMT_0028],[protein_id=CAE20203.1],[gene=gap2],[protein=Glyceraldehyde 3-phosphate dehydrogenase(NADP+; phosphorylating)],[locus_tag=Syncc8109_0030],[protein_id=AHF62456.1],[gene=gap2],"[protein=glyceraldehyde-3-phosphate dehydrogenase, type I]",[evalue=0.00000E+00],[locus_tag=Syncc8109_0834],[protein_id=AHF63212.1],[gene=gap3],"[protein=glyceraldehyde-3-phosphate dehydrogenase, type I]",[evalue=1.16113E-92]
[locus_tag=PMT_0029],[protein_id=CAE20204.1],[gene=thiL],[protein=putative thiamine monophosphate kinase],[locus_tag=Syncc8109_0031],[protein_id=AHF62457.1],[gene=thiL],[protein=thiamine-monophosphate kinase],[evalue=5.37406E-132]
[locus_tag=PMT_0030],[protein_id=CAE20205.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[locus_tag=Syncc8109_0032],[protein_id=AHF62458.1],[gene=None],[protein=putative cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=1.46898E-149],[locus_tag=Syncc8109_2093],[protein_id=AHF64431.1],[gene=None],"[protein=putative peptidyl-prolyl cis-trans isomerase, cyclophilin type]",[evalue=1.02683E-24]
[locus_tag=PMT_0031],[protein_id=CAE20206.1],[gene=efp],[protein=Elongation factor P (EF-P)],[locus_tag=Syncc8109_0033],[protein_id=AHF62459.1],[gene=efp],[protein=translation elongation factor P],[evalue=3.00761E-128]
[locus_tag=PMT_0032],[protein_id=CAE20207.1],[gene=accB],"[protein=acetyl-CoA carboxylase, biotin carboxyl carrier protein]",[locus_tag=Syncc8109_0034],[protein_id=AHF62460.1],[gene=accB],"[protein=acetyl-CoA carboxylase, biotin carboxyl carrier protein]",[evalue=1.04216E-70]
[locus_tag=PMT_0033],[protein_id=CAE20208.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA],[locus_tag=Syncc8109_0035],[protein_id=AHF62461.1],[gene=pdxA],[protein=4-hydroxythreonine-4-phosphate dehydrogenase],[evalue=1.19922E-160]
[locus_tag=PMT_0034],[protein_id=CAE20209.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0037],[protein_id=AHF62463.1],[gene=None],[protein=hypothetical protein],[evalue=1.15118E-118]
[locus_tag=PMT_0035],[protein_id=CAE20210.1],[gene=None],[protein=possible Squash family serine protease inhibit],[locus_tag=Syncc8109_0038],[protein_id=AHF62464.1],[gene=None],[protein=putative Squash family serine protease inhibit],[evalue=7.24947E-12]
[locus_tag=PMT_0036],[protein_id=CAE20211.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[locus_tag=Syncc8109_0039],[protein_id=AHF62465.1],[gene=mcrA],[protein=HNH nuclease],[evalue=5.82613E-33]
[locus_tag=PMT_0037],[protein_id=CAE20212.1],[gene=None],[protein=SWI/SNF family helicase_2],[locus_tag=Syncc8109_0040],[protein_id=AHF62466.1],[gene=None],[protein=DEAD/DEAH box helicase-like protein],[evalue=0.00000E+00],[locus_tag=Syncc8109_2601],[protein_id=AHF64908.1],[gene=None],[protein=DEAD/DEAH box helicase-like protein],[evalue=1.54107E-24]
