[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=5.75914E-159]
[locus_tag=PMM0002],[protein_id=CAE18461.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH8103_00002],[protein_id=CRY90760.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.01545E-71]
[locus_tag=PMM0003],[protein_id=CAE18462.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthetase II],[locus_tag=SynWH8103_00003],[protein_id=CRY90761.1],[gene=purL],"[protein=phosphoribosylformylglycinamidine synthase, synthetase domain]",[evalue=0.00000E+00],[locus_tag=SynWH8103_01600],[protein_id=CRY92327.1],[gene=None],"[protein=AIR synthase related, N-terminal domain protein]",[evalue=2.25089E-08]
[locus_tag=PMM0004],[protein_id=CAE18463.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[locus_tag=SynWH8103_00005],[protein_id=CRY90762.1],[gene=purF],[protein=amidophosphoribosyltransferase],[evalue=1.46522E-85],[locus_tag=SynWH8103_00162],[protein_id=CRY90915.1],[gene=glmS],[protein=Glucosamine-6-phosphate synthase],[evalue=6.30008E-12]
[locus_tag=PMM0005],[protein_id=CAE18464.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=SynWH8103_00004],[protein_id=CRY90763.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A family protein]",[evalue=0.00000E+00],[locus_tag=SynWH8103_00828],[protein_id=CRY91568.1],[gene=gyrA],[protein=DNA gyrase subunit A],[evalue=0.00000E+00]
[locus_tag=PMM0006],[protein_id=CAE18465.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH8103_00006],[protein_id=CRY90764.1],[gene=None],[protein=tetratricopeptide repeat family protein],[evalue=1.88232E-59],[locus_tag=SynWH8103_02164],[protein_id=CRY92878.1],[gene=None],[protein=tetratricopeptide repeat family protein],[evalue=5.70022E-12],[locus_tag=SynWH8103_01810],[protein_id=CRY92535.1],[gene=None],[protein=TPR repeat family protein],[evalue=2.94484E-10]
[locus_tag=PMM0007],[protein_id=CAE18466.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH8103_00007],[protein_id=CRY90765.1],[gene=queG],[protein=epoxyqueuosine reductase],[evalue=1.10158E-127]
[locus_tag=PMM0008],[protein_id=CAE18467.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH8103_00009],[protein_id=CRY90767.1],[gene=None],[protein=uncharacterized membrane protein (DUF502)],[evalue=1.61871E-137]
[locus_tag=PMM0009],[protein_id=CAE18468.1],[gene=nusB],[protein=Antitermination protein NusB],[locus_tag=SynWH8103_00010],[protein_id=CRY90768.1],[gene=nusB],[protein=transcription antitermination protein NusB],[evalue=6.07028E-63]
[locus_tag=PMM0010],[protein_id=CAE18469.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[locus_tag=SynWH8103_00011],[protein_id=CRY90769.1],[gene=ftsY],[protein=signal recognition particle-docking protein FtsY],[evalue=5.75230E-172],[locus_tag=SynWH8103_01845],[protein_id=CRY92570.1],[gene=ffh],[protein=signal recognition particle protein],[evalue=1.24492E-34]
[locus_tag=PMM0011],[protein_id=CAE18470.1],[gene=None],[protein=Protein phosphatase 2C domain],[locus_tag=SynWH8103_00012],[protein_id=CRY90770.1],[gene=rsbU],"[protein=serine phosphatase RsbU, sigma subunit regulator]",[evalue=1.93193E-145]
[locus_tag=PMM0012],[protein_id=CAE18471.1],[gene=argH],[protein=Fumarate lyase:Delta crystallin],[locus_tag=SynWH8103_00013],[protein_id=CRY90771.1],[gene=argH],[protein=argininosuccinate lyase],[evalue=0.00000E+00],[locus_tag=SynWH8103_00452],[protein_id=CRY91197.1],[gene=purB],[protein=adenylosuccinate lyase],[evalue=1.24334E-09]
[locus_tag=PMM0013],[protein_id=CAE18472.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[locus_tag=SynWH8103_00014],[protein_id=CRY90772.1],[gene=None],[protein=RNA-binding domain RNP-1 (RNA recognition motif)containing protein],[evalue=6.45207E-46],[locus_tag=SynWH8103_01526],[protein_id=CRY92253.1],[gene=None],"[protein=RNA-binding protein, RRM domain]",[evalue=6.23497E-32],[locus_tag=SynWH8103_01055],[protein_id=CRY91789.1],[gene=None],"[protein=RNA-binding protein, RRM domain]",[evalue=3.80963E-31]
[locus_tag=PMM0014],[protein_id=CAE18473.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH8103_00015],[protein_id=CRY90773.1],[gene=None],[protein=dihydrouridine synthase family protein],[evalue=3.84190E-128],[locus_tag=SynWH8103_00753],[protein_id=CRY91492.1],[gene=None],"[protein=TIM-barrel, nifR3 family protein]",[evalue=2.02957E-23]
[locus_tag=PMM0015],[protein_id=CAE18474.1],[gene=None],[protein=Domain of unknown function DUF25],[locus_tag=SynWH8103_00016],[protein_id=CRY90774.1],[gene=msrB],[protein=methionine-R-sulfoxide reductase],[evalue=6.90154E-78],[locus_tag=SynWH8103_00372],[protein_id=CRY91117.1],[gene=msrB],[protein=peptide methionine sulfoxide reductase MsrB],[evalue=1.91636E-41]
[locus_tag=PMM0016],[protein_id=CAE18475.1],[gene=grpE],[protein=Heat shock protein GrpE],[locus_tag=SynWH8103_00021],[protein_id=CRY90779.1],[gene=grpE],[protein=Chaperone protein GrpE],[evalue=3.50288E-84]
