[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.93831E-159]
[locus_tag=SynWH8103_00002],[protein_id=CRY90760.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0002],[protein_id=CAE18461.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.17382E-77]
[locus_tag=SynWH8103_00003],[protein_id=CRY90761.1],[gene=purL],"[protein=phosphoribosylformylglycinamidine synthase, synthetase domain]",[locus_tag=PMM0003],[protein_id=CAE18462.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthetase II],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00005],[protein_id=CRY90762.1],[gene=purF],[protein=amidophosphoribosyltransferase],[locus_tag=PMM0004],[protein_id=CAE18463.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[evalue=9.81353E-86],[locus_tag=PMM1606],[protein_id=CAE20065.1],[gene=glmS],[protein=Glutamine--fructose-6-phosphate transaminase (isomerizing)],[evalue=8.72568E-16]
[locus_tag=SynWH8103_00004],[protein_id=CRY90763.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A family protein]",[locus_tag=PMM0005],[protein_id=CAE18464.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=4.58551E-07]
[locus_tag=SynWH8103_00006],[protein_id=CRY90764.1],[gene=None],[protein=tetratricopeptide repeat family protein],[locus_tag=PMM0006],[protein_id=CAE18465.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.34159E-59]
[locus_tag=SynWH8103_00007],[protein_id=CRY90765.1],[gene=queG],[protein=epoxyqueuosine reductase],[locus_tag=PMM0007],[protein_id=CAE18466.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.70092E-128]
[locus_tag=SynWH8103_00009],[protein_id=CRY90767.1],[gene=None],[protein=uncharacterized membrane protein (DUF502)],[locus_tag=PMM0008],[protein_id=CAE18467.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.10241E-137]
[locus_tag=SynWH8103_00010],[protein_id=CRY90768.1],[gene=nusB],[protein=transcription antitermination protein NusB],[locus_tag=PMM0009],[protein_id=CAE18468.1],[gene=nusB],[protein=Antitermination protein NusB],[evalue=7.88333E-56]
[locus_tag=SynWH8103_00011],[protein_id=CRY90769.1],[gene=ftsY],[protein=signal recognition particle-docking protein FtsY],[locus_tag=PMM0010],[protein_id=CAE18469.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[evalue=5.03439E-170],[locus_tag=PMM1286],[protein_id=CAE19745.1],[gene=ffh],[protein=signal recognition particle protein (SRP54)],[evalue=1.62234E-37]
[locus_tag=SynWH8103_00012],[protein_id=CRY90770.1],[gene=rsbU],"[protein=serine phosphatase RsbU, sigma subunit regulator]",[locus_tag=PMM0011],[protein_id=CAE18470.1],[gene=None],[protein=Protein phosphatase 2C domain],[evalue=1.32999E-145]
[locus_tag=SynWH8103_00013],[protein_id=CRY90771.1],[gene=argH],[protein=argininosuccinate lyase],[locus_tag=PMM0012],[protein_id=CAE18471.1],[gene=argH],[protein=Fumarate lyase:Delta crystallin],[evalue=0.00000E+00],[locus_tag=PMM1465],[protein_id=CAE19924.1],[gene=purB],[protein=Fumarate lyase:Adenylosuccinate lyase],[evalue=1.67737E-12]
[locus_tag=SynWH8103_00014],[protein_id=CRY90772.1],[gene=None],[protein=RNA-binding domain RNP-1 (RNA recognition motif)containing protein],[locus_tag=PMM0013],[protein_id=CAE18472.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=1.99190E-46],[locus_tag=PMM1376],[protein_id=CAE19835.1],[gene=rbpD],[protein=RNA-binding protein RbpD],[evalue=1.47564E-32]
[locus_tag=SynWH8103_00015],[protein_id=CRY90773.1],[gene=None],[protein=dihydrouridine synthase family protein],[locus_tag=PMM0014],[protein_id=CAE18473.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.58090E-138],[locus_tag=PMM1009],[protein_id=CAE19468.1],[gene=None],[protein=putative nitrogen regulation protein NifR3 family homolog],[evalue=1.64176E-28]
[locus_tag=SynWH8103_00016],[protein_id=CRY90774.1],[gene=msrB],[protein=methionine-R-sulfoxide reductase],[locus_tag=PMM0015],[protein_id=CAE18474.1],[gene=None],[protein=Domain of unknown function DUF25],[evalue=4.83464E-78]
[locus_tag=SynWH8103_00018],[protein_id=CRY90775.1],[gene=None],"[protein=flavo, HI0933 family protein]",[locus_tag=PMM1370],[protein_id=CAE19829.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.58101E-130]
[locus_tag=SynWH8103_00021],[protein_id=CRY90779.1],[gene=grpE],[protein=Chaperone protein GrpE],[locus_tag=PMM0016],[protein_id=CAE18475.1],[gene=grpE],[protein=Heat shock protein GrpE],[evalue=9.02078E-85]
[locus_tag=SynWH8103_00022],[protein_id=CRY90780.1],[gene=dnaJ],[protein=Chaperone protein dnaJ],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=0.00000E+00],[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein],[evalue=4.91364E-26],[locus_tag=PMM1474],[protein_id=CAE19933.1],[gene=None],[protein=DnaJ-like protein],[evalue=1.08108E-06]
[locus_tag=SynWH8103_00023],[protein_id=CRY90781.1],[gene=None],[protein=putative predicted redox protein],[locus_tag=PMM0018],[protein_id=CAE18477.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.42040E-08]
[locus_tag=SynWH8103_00025],[protein_id=CRY90782.1],[gene=rsgA],[protein=ribosome small subunit-dependent GTPase A],[locus_tag=PMM0019],[protein_id=CAE18478.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.64893E-72]
[locus_tag=SynWH8103_00024],[protein_id=CRY90783.1],[gene=None],"[protein=DNA-binding protein, YbaB/EbfC family]",[locus_tag=PMM0020],[protein_id=CAE18479.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.25730E-52]
[locus_tag=SynWH8103_00026],[protein_id=CRY90784.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[locus_tag=PMM0021],[protein_id=CAE18480.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[evalue=3.84556E-86]
[locus_tag=SynWH8103_00027],[protein_id=CRY90785.1],[gene=murC],[protein=UDP-N-acetylmuramate-alanine ligase],[locus_tag=PMM0022],[protein_id=CAE18481.1],[gene=murC],[protein=Probable UDP-N-acetylmuramate-alanine ligase],[evalue=3.21860E-118],[locus_tag=PMM1364],[protein_id=CAE19823.1],[gene=murD],[protein=UDP-N-acetylmuramoylalanine--D-glutamate ligase],[evalue=2.03478E-09]
[locus_tag=SynWH8103_00029],[protein_id=CRY90787.1],[gene=gap2],[protein=glyceraldehyde-3-phosphate dehydrogenase],[locus_tag=PMM0023],[protein_id=CAE18482.1],[gene=gap2],[protein=Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)],[evalue=0.00000E+00],[locus_tag=PMM0713],[protein_id=CAE19172.1],[gene=gap1],[protein=Putative glyceraldehyde 3-phosphate dehydrogenase],[evalue=1.46249E-84]
[locus_tag=SynWH8103_00030],[protein_id=CRY90788.1],[gene=thiL],[protein=thiamine-monophosphate kinase],[locus_tag=PMM0024],[protein_id=CAE18483.1],[gene=thiL],[protein=putative thiamine-monophosphate kinase],[evalue=3.55352E-81]
[locus_tag=SynWH8103_00031],[protein_id=CRY90789.1],[gene=None],[protein=cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD family protein],[locus_tag=PMM0025],[protein_id=CAE18484.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=1.03774E-141],[locus_tag=PMM1155],[protein_id=CAE19614.1],[gene=ppiA],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=1.48416E-11]
[locus_tag=SynWH8103_00032],[protein_id=CRY90790.1],[gene=efp],[protein=translation elongation factor P],[locus_tag=PMM0026],[protein_id=CAE18485.1],[gene=efp],[protein=Elongation factor P (EF-P)],[evalue=2.05921E-110]
[locus_tag=SynWH8103_00034],[protein_id=CRY90791.1],[gene=accB],"[protein=acetyl-CoA carboxylase, biotin carboxyl carrier rotein]",[locus_tag=PMM0027],[protein_id=CAE18486.1],"[gene=accB,fabE]",[protein=Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit],[evalue=1.16258E-58]
[locus_tag=SynWH8103_00033],[protein_id=CRY90792.1],[gene=pdxA],[protein=4-hydroxythreonine-4-phosphate dehydrogenase PdxA],[locus_tag=PMM0028],[protein_id=CAE18487.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA],[evalue=5.85277E-107]
[locus_tag=SynWH8103_00035],[protein_id=CRY90794.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0029],[protein_id=CAE18488.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.72999E-102]
[locus_tag=SynWH8103_00037],[protein_id=CRY90795.1],[gene=None],[protein=McrA/HNH family nuclease],[locus_tag=PMM0031],[protein_id=CAE18490.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[evalue=8.59396E-70],[locus_tag=PMM1403],[protein_id=CAE19862.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[evalue=7.29074E-68],[locus_tag=PMM0982],[protein_id=CAE19441.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[evalue=1.17775E-54]
[locus_tag=SynWH8103_00040],[protein_id=CRY90798.1],[gene=None],[protein=putative bacterial type II secretion system protein],[locus_tag=PMM0032],[protein_id=CAE18491.1],[gene=None],[protein=possible Bacterial type II secretion system pr],[evalue=1.83209E-19]
[locus_tag=SynWH8103_00041],[protein_id=CRY90799.1],[gene=None],[protein=membrane AbrB duplication domain protein],[locus_tag=PMM0033],[protein_id=CAE18492.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.31989E-71]
[locus_tag=SynWH8103_00043],[protein_id=CRY90801.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0034],[protein_id=CAE18493.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.93466E-19]
[locus_tag=SynWH8103_00046],[protein_id=CRY90803.1],[gene=None],[protein=soluble hydrogenase 42 kDa subunit],[locus_tag=PMM0035],[protein_id=CAE18494.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=0.00000E+00],[locus_tag=PMM0919],[protein_id=CAE19378.1],"[gene=spt, agt]",[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[evalue=3.08446E-58]
[locus_tag=SynWH8103_00047],[protein_id=CRY90804.1],[gene=cbiD],[protein=cobalamin biosynthesis protein CbiD],[locus_tag=PMM0036],[protein_id=CAE18495.1],[gene=None],[protein=CbiD protein],[evalue=4.94961E-96]
[locus_tag=SynWH8103_00048],[protein_id=CRY90805.1],[gene=guaA],"[protein=GMP synthase (glutamine-hydrolyzing), N-terminaldomain]",[locus_tag=PMM0037],[protein_id=CAE18496.1],[gene=guaA],[protein=Glutamine amidotransferase class-I:GMP synthase],[evalue=0.00000E+00],[locus_tag=PMM0184],[protein_id=CAE18643.1],[gene=pabA],[protein=para-aminobenzoate synthase component II],[evalue=2.57532E-15],[locus_tag=PMM0951],[protein_id=CAE19410.1],"[gene=carA, pyrA]",[protein=carbamoyl-phosphate synthase small chain],[evalue=1.11637E-06]
[locus_tag=SynWH8103_00049],[protein_id=CRY90806.1],[gene=None],[protein=Conserved hypotothetical protein],[locus_tag=PMM0039],[protein_id=CAE18498.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.62877E-82]
[locus_tag=SynWH8103_00051],[protein_id=CRY90808.1],[gene=mrdA],[protein=transpeptidase involved in septal peptidoglycan ynthesis (peptidoglycan synthetase precursor)],[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[evalue=0.00000E+00],[locus_tag=PMM0518],[protein_id=CAE18977.1],[gene=ftsI],[protein=putative peptidoglycan synthetase (pbp transpeptidase domain)],[evalue=1.46198E-23]
[locus_tag=SynWH8103_00052],[protein_id=CRY90809.1],[gene=sdqX],[protein=sulfolipid sulfoquinovosyldiacylglycerol biosynthesis protein (sulfolipid synthase)],[locus_tag=PMM1666],[protein_id=CAE20125.1],[gene=sqdX],[protein=SqdX],[evalue=0.00000E+00],[locus_tag=PMM0397],[protein_id=CAE18856.1],[gene=None],"[protein=possible Glycosyl transferase, group 1]",[evalue=1.51965E-11],[locus_tag=PMM1178],[protein_id=CAE19637.1],[gene=None],[protein=Glycosyl transferases group 1],[evalue=6.49105E-10]
[locus_tag=SynWH8103_00053],[protein_id=CRY90810.1],[gene=None],[protein=NAD dependent epimerase/dehydratase family protein],[locus_tag=PMM1665],[protein_id=CAE20124.1],[gene=sqdB],[protein=sulfolipid (UDP-sulfoquinovose) biosynthesis protein],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00056],[protein_id=CRY90812.1],[gene=None],[protein=thiazole biosynthesis ThiG family protein],[locus_tag=PMM1664],[protein_id=CAE20123.1],[gene=thiG],[protein=thiamin biosynthesis protein],[evalue=3.94666E-118]
[locus_tag=SynWH8103_00058],[protein_id=CRY90814.1],[gene=None],[protein=TPR repeat family protein],[locus_tag=PMM1663],[protein_id=CAE20122.1],[gene=None],[protein=putative photosystem I assembly related protein Ycf37],[evalue=5.78125E-45]
[locus_tag=SynWH8103_00059],[protein_id=CRY90815.1],[gene=rplT],[protein=50S ribosomal protein L20],[locus_tag=PMM1662],[protein_id=CAE20121.1],"[gene=rpl20, rplT]",[protein=50S ribosomal protein L20],[evalue=1.36557E-49]
[locus_tag=SynWH8103_00060],[protein_id=CRY90816.1],[gene=rpmI],[protein=50S ribosomal protein L35],[locus_tag=PMM1661],[protein_id=CAE20120.1],"[gene=rpl35, rpmI]",[protein=50S ribosomal protein L35],[evalue=2.72378E-28]
[locus_tag=SynWH8103_00061],[protein_id=CRY90817.1],[gene=spoIID],[protein=sporulation protein homolog],[locus_tag=PMM1660],[protein_id=CAE20119.1],[gene=None],[protein=possible amidase enhancer],[evalue=1.32225E-107],[locus_tag=PMM1348],[protein_id=CAE19807.1],[gene=spoIID],[protein=possible sporulation protein SpoIID],[evalue=4.31745E-22]
[locus_tag=SynWH8103_00062],[protein_id=CRY90818.1],[gene=None],"[protein=possible polysaccharide-forming beta-glycosyltransferase, family 2]",[locus_tag=PMM1659],[protein_id=CAE20118.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=1.25630E-155]
[locus_tag=SynWH8103_00063],[protein_id=CRY90819.1],[gene=dnaX],"[protein=DNA polymerase III, gamma and tau subunits]",[locus_tag=PMM1658],[protein_id=CAE20117.1],[gene=dnaX],"[protein=DNA polymerase, gamma and tau subunits]",[evalue=3.56206E-168],[locus_tag=PMM0077],[protein_id=CAE18536.1],[gene=yrvN],"[protein=putative ATPase, AAA family]",[evalue=3.43287E-13],[locus_tag=PMM0129],[protein_id=CAE18588.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[evalue=1.24354E-11]
[locus_tag=SynWH8103_00065],[protein_id=CRY90821.1],[gene=clpX],"[protein=ATP-dependent Clp protease ATP-binding subunit, lpX]",[locus_tag=PMM1657],[protein_id=CAE20116.1],[gene=clpX],"[protein=Clp protease ATP-binding subunit, ClpX]",[evalue=0.00000E+00],[locus_tag=PMM0854],[protein_id=CAE19313.1],[gene=ftsH4],[protein=cell division protein FtsH4],[evalue=2.30536E-06]
[locus_tag=SynWH8103_00066],[protein_id=CRY90822.1],[gene=clpP2],[protein=Protease subunit of ATP-dependent Clp protease],[locus_tag=PMM1656],[protein_id=CAE20115.1],[gene=clpP2],[protein=Clp protease proteolytic subunit],[evalue=1.57337E-121],[locus_tag=PMM0742],[protein_id=CAE19201.1],[gene=clpP1],[protein=Clp protease subunit],[evalue=4.21561E-90],[locus_tag=PMM1314],[protein_id=CAE19773.1],[gene=clpP3],[protein=Clp protease proteolytic subunit],[evalue=2.36852E-81]
[locus_tag=SynWH8103_00067],[protein_id=CRY90823.1],[gene=tig],[protein=trigger factor],[locus_tag=PMM1655],[protein_id=CAE20114.1],[gene=None],[protein=FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase)],[evalue=3.15848E-157]
[locus_tag=SynWH8103_00068],[protein_id=CRY90824.1],[gene=asd],[protein=aspartate-semialdehyde dehydrogenase],[locus_tag=PMM1654],[protein_id=CAE20113.1],[gene=asd],[protein=aspartate Semialdehyde dehydrogenase],[evalue=1.41866E-160]
[locus_tag=SynWH8103_00069],[protein_id=CRY90825.1],[gene=dapA],[protein=dihydrodipicolinate synthase],[locus_tag=PMM1653],[protein_id=CAE20112.1],[gene=dapA],[protein=Dihydrodipicolinate synthetase],[evalue=1.46557E-132]
[locus_tag=SynWH8103_00071],[protein_id=CRY90826.1],[gene=None],[protein=conserved hypothetical family protein],[locus_tag=PMM1652],[protein_id=CAE20111.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00072],[protein_id=CRY90828.1],[gene=None],"[protein=aspartate kinase, monofunctional class]",[locus_tag=PMM1648],[protein_id=CAE20107.1],[gene=lysC],[protein=Aspartate kinase],[evalue=0.00000E+00],[locus_tag=PMM1648],[protein_id=CAE20107.1],[gene=lysC],[protein=Aspartate kinase],[evalue=6.65889E-18]
[locus_tag=SynWH8103_00075],[protein_id=CRY90831.1],[gene=holA],"[protein=DNA polymerase III, delta subunit]",[locus_tag=PMM1647],[protein_id=CAE20106.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.55190E-76]
[locus_tag=SynWH8103_00077],[protein_id=CRY90832.1],[gene=None],[protein=putative precorrin-8X methylmutase],[locus_tag=PMM1646],[protein_id=CAE20105.1],[gene=cobH],[protein=putative Precorrin-8X methylmutase CobH],[evalue=1.13286E-61]
[locus_tag=SynWH8103_00076],[protein_id=CRY90833.1],[gene=tilS],[protein=tRNA(Ile)-lysidine synthetase],[locus_tag=PMM1651],[protein_id=CAE20110.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.35266E-87]
[locus_tag=SynWH8103_00078],[protein_id=CRY90834.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1650],[protein_id=CAE20109.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.16412E-91]
[locus_tag=SynWH8103_00080],[protein_id=CRY90835.1],[gene=uvrB],[protein=Helicase subunit of the DNA excision repair complex],[locus_tag=PMM1649],[protein_id=CAE20108.1],[gene=uvrB],[protein=Excinuclease ABC subunit B (UvrB)],[evalue=0.00000E+00],[locus_tag=PMM0839],[protein_id=CAE19298.1],[gene=None],[protein=Transcriptional-repair coupling factor],[evalue=1.78007E-06]
[locus_tag=SynWH8103_00079],[protein_id=CRY90836.1],[gene=mutS],[protein=DNA mismatch repair protein MutS],[locus_tag=PMM1645],[protein_id=CAE20104.1],"[gene=mutS,fdv]",[protein=putative DNA mismatch repair protein],[evalue=0.00000E+00],[locus_tag=PMM0217],[protein_id=CAE18676.1],[gene=mutS],[protein=putative DNA mismatch repair protein MutS family],[evalue=1.74318E-15]
[locus_tag=SynWH8103_00082],[protein_id=CRY90838.1],[gene=None],[protein=acetyltransferase family protein],[locus_tag=PMM1640],[protein_id=CAE20099.1],[gene=None],"[protein=putative acetyltransferase, GNAT family]",[evalue=9.44111E-51],[locus_tag=PMM0562],[protein_id=CAE19021.1],[gene=None],[protein=possible acetyltransferase],[evalue=2.92647E-11]
[locus_tag=SynWH8103_00084],[protein_id=CRY90840.1],[gene=ribH],"[protein=6,7-dimethyl-8-ribityllumazine synthase]",[locus_tag=PMM1643],[protein_id=CAE20102.1],[gene=ribH],"[protein=Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain]",[evalue=1.98543E-85]
[locus_tag=SynWH8103_00090],[protein_id=CRY90845.1],[gene=secA],[protein=Preprotein translocase SecA subunit],[locus_tag=PMM1639],[protein_id=CAE20098.1],[gene=secA],[protein=Preprotein translocase SecA subunit],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00093],[protein_id=CRY90849.1],[gene=cysE],[protein=serine O-acetyltransferase],[locus_tag=PMM1638],[protein_id=CAE20097.1],[gene=cysE],[protein=Serine acetyltransferase],[evalue=8.74035E-122]
[locus_tag=SynWH8103_00095],[protein_id=CRY90850.1],[gene=None],"[protein=bacterial regulatory s, gntR family protein]",[locus_tag=PMM1637],[protein_id=CAE20096.1],[gene=None],[protein=possible transcriptional regulator],[evalue=3.33820E-174]
[locus_tag=SynWH8103_00096],[protein_id=CRY90852.1],[gene=infC],[protein=translation initiation factor IF-3],[locus_tag=PMM1636],[protein_id=CAE20095.1],[gene=infC],[protein=Translation Initiation factor 3],[evalue=1.91709E-113]
[locus_tag=SynWH8103_00098],[protein_id=CRY90853.1],[gene=miaA],[protein=tRNA delta-2-isopentenylpyrophosphate (IPP) adenosine transferase],[locus_tag=PMM1635],[protein_id=CAE20094.1],"[gene=miaA,trpX]",[protein=tRNA delta-2-isopentenylpyrophosphate (IPP) transferase],[evalue=2.93477E-103]
[locus_tag=SynWH8103_00099],[protein_id=CRY90854.1],[gene=gyrB],"[protein=DNA gyrase, B subunit]",[locus_tag=PMM1634],[protein_id=CAE20093.1],[gene=gyrB],"[protein=DNA gyrase, subunit B]",[evalue=0.00000E+00]
[locus_tag=SynWH8103_00100],[protein_id=CRY90855.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1633],[protein_id=CAE20092.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.61186E-11]
