Locus tag,Protein ID,Gene,Protein name
PMN2A_1345,AAZ58834.1,None,conserved hypothetical protein
PMN2A_1357,AAZ58846.1,None,hypothetical protein
PMN2A_1367,AAZ58855.1,None,hypothetical protein
PMN2A_1369,AAZ58857.1,None,conserved hypothetical protein
PMN2A_1370,AAZ58858.1,None,conserved hypothetical protein
PMN2A_1384,AAZ58872.1,None,hypothetical protein
PMN2A_1386,AAZ58874.1,None,enzyme of the cupin superfamily
PMN2A_1897,ABU23835.1,None,Conserved hypothetical protein
PMN2A_1387,AAZ58875.1,None,hypothetical protein
PMN2A_1388,AAZ58876.1,None,hypothetical protein
PMN2A_1389,AAZ58877.1,None,C-type lectin
PMN2A_1898,ABU23836.1,None,Conserved hypothetical protein
PMN2A_1391,AAZ58879.1,None,hypothetical protein
PMN2A_1393,AAZ58881.1,None,conserved hypothetical protein
PMN2A_1899,ABU23837.1,None,Conserved hypothetical protein
PMN2A_1900,ABU23838.1,None,Conserved hypothetical protein
PMN2A_1901,ABU23839.1,None,Conserved hypothetical protein
PMN2A_1902,ABU23840.1,None,Conserved hypothetical protein
PMN2A_1394,AAZ58882.1,None,hypothetical protein
PMN2A_1395,AAZ58883.1,None,conserved hypothetical protein
PMN2A_1396,AAZ58884.1,None,hypothetical protein
PMN2A_1903,ABU23841.1,None,Conserved hypothetical protein
PMN2A_1397,AAZ58885.1,None,hypothetical protein
PMN2A_1398,AAZ58886.1,None,conserved hypothetical protein
PMN2A_1400,AAZ58888.1,None,hypothetical protein
PMN2A_1404,AAZ58892.1,None,possible high light inducible protein
PMN2A_1405,AAZ58893.1,None,hypothetical protein
PMN2A_1406,AAZ58894.1,None,hypothetical protein
PMN2A_1409,AAZ58897.1,None,hypothetical protein
PMN2A_1412,AAZ58900.1,None,hypothetical protein
PMN2A_1904,ABU23842.1,None,Conserved hypothetical protein
PMN2A_1905,ABU23843.1,None,Hypothetical protein
PMN2A_1906,ABU23844.1,None,Hypothetical protein
PMN2A_1418,AAZ58906.1,None,conserved hypothetical protein
PMN2A_1425,AAZ58913.1,None,photosystem II protein X PsbX
PMN2A_1429,AAZ58917.1,None,conserved hypothetical protein
PMN2A_1907,ABU23845.1,None,Conserved hypothetical protein
PMN2A_1908,ABU23846.1,None,Conserved hypothetical protein
PMN2A_1470,AAZ58958.1,None,hypothetical protein
PMN2A_1472,AAZ58960.1,None,hypothetical protein
PMN2A_1910,ABU23848.1,None,Conserved hypothetical protein
PMN2A_1911,ABU23849.1,None,Conserved hypothetical protein
PMN2A_1912,ABU23850.1,None,Conserved hypothetical protein
PMN2A_1913,ABU23851.1,None,Conserved hypothetical protein
PMN2A_1914,ABU23852.1,None,Conserved hypothetical protein
PMN2A_1579,AAZ59067.1,None,conserved hypothetical protein
PMN2A_1580,AAZ59068.1,None,permease
PMN2A_1916,ABU23854.1,None,Conserved hypothetical protein
PMN2A_1609,AAZ59097.1,None,Thymidylate synthase complementing protein ThyX
PMN2A_1618,AAZ59106.1,None,photosystem II 10 kDa phosphoprotein PsbH
PMN2A_1917,ABU23855.1,None,Conserved hypothetical protein
PMN2A_1918,ABU23856.1,None,Conserved hypothetical protein
PMN2A_1653,AAZ59141.1,None,"7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK"
PMN2A_1667,AAZ59155.1,None,"Selenide,water dikinase"
PMN2A_1919,ABU23857.1,None,Conserved hypothetical protein
PMN2A_1684,AAZ59172.1,None,hypothetical protein
PMN2A_1920,ABU23858.1,None,Conserved hypothetical protein
PMN2A_1710,AAZ59198.1,None,hypothetical protein
PMN2A_1922,ABU23859.1,None,Conserved hypothetical protein
PMN2A_1712,AAZ59200.1,None,conserved hypothetical protein
PMN2A_1713,AAZ59201.1,None,hypothetical protein
PMN2A_1714,AAZ59202.1,None,hypothetical protein
PMN2A_1924,ABU23860.1,None,Hypothetical protein
PMN2A_1925,ABU23861.1,None,Conserved hypothetical protein
PMN2A_1716,AAZ59204.1,None,possible high light inducible protein
PMN2A_1717,AAZ59205.1,None,possible high light inducible protein
PMN2A_1718,AAZ59206.1,None,possible high light inducible protein
PMN2A_1926,ABU23862.1,None,Conserved hypothetical protein
PMN2A_1720,AAZ59208.1,None,conserved hypothetical protein
PMN2A_1927,ABU23863.1,None,Hypothetical protein
PMN2A_1725,AAZ59213.1,None,hypothetical protein
PMN2A_1928,ABU23864.1,None,Conserved hypothetical protein
PMN2A_1929,ABU23865.1,None,Conserved hypothetical protein
PMN2A_1751,AAZ59239.1,None,conserved hypothetical protein
PMN2A_1930,ABU23866.1,None,Conserved hypothetical protein
PMN2A_1932,ABU23867.1,None,Hypothetical protein
PMN2A_1763,AAZ59251.1,None,uncharacterized Zn ribbon-containing conserved protein
PMN2A_1782,AAZ59270.1,None,hypothetical protein
PMN2A_1797,AAZ59285.1,None,conserved hypothetical protein
PMN2A_1805,AAZ59293.1,None,"sodium/proton antiporter, CPA1 family"
PMN2A_1933,ABU23868.1,None,Hypothetical protein
PMN2A_1934,ABU23869.1,None,Conserved hypothetical protein
PMN2A_1837,AAZ59325.1,None,conserved hypothetical protein
PMN2A_1869,AAZ59357.1,None,lipoate-protein ligase A
PMN2A_1889,AAZ59377.1,None,hydroxyacylglutathione hydrolase
PMN2A_1935,ABU23870.1,None,Hypothetical protein
PMN2A_1936,ABU23871.1,None,Conserved hypothetical protein
PMN2A_0063,AAZ57555.1,None,conserved hypothetical protein
PMN2A_0065,AAZ57557.1,None,hypothetical protein
PMN2A_1937,ABU23872.1,None,Conserved hypothetical protein
PMN2A_0067,AAZ57559.1,None,Na+/glutamate symporter
PMN2A_0071,AAZ57563.1,None,conserved hypothetical protein
PMN2A_1938,ABU23873.1,None,Conserved hypothetical protein
PMN2A_0076,AAZ57568.1,None,isochorismatase family hydrolase
PMN2A_1939,ABU23874.1,None,Conserved hypothetical protein
PMN2A_0091,AAZ57583.1,None,conserved hypothetical protein
PMN2A_1940,ABU23875.1,None,Conserved hypothetical protein
PMN2A_0118,AAZ57610.1,None,hypothetical protein
PMN2A_0119,AAZ57611.1,None,conserved hypothetical protein
PMN2A_1941,ABU23876.1,None,Conserved hypothetical protein
PMN2A_1942,ABU23877.1,None,Conserved hypothetical protein
PMN2A_1943,ABU23878.1,None,Conserved hypothetical protein
PMN2A_1944,ABU23879.1,None,Conserved hypothetical protein
PMN2A_0120,AAZ57612.1,None,hypothetical protein
PMN2A_0123,AAZ57615.1,None,conserved hypothetical protein
PMN2A_1945,ABU23880.1,None,Hypothetical protein
PMN2A_0125,AAZ57617.1,None,possible paired amphipathic helix repeat
PMN2A_1946,ABU23881.1,None,Hypothetical protein
PMN2A_0126,AAZ57618.1,None,hypothetical protein
PMN2A_0128,AAZ57620.1,None,BdrC3-like protein
PMN2A_1947,ABU23882.1,None,Conserved hypothetical protein
PMN2A_0132,AAZ57624.1,None,hypothetical protein
PMN2A_0168,AAZ57660.1,None,hypothetical protein
PMN2A_0188,AAZ57680.1,None,fructose-bisphosphate aldolase
PMN2A_0197,AAZ57689.1,None,hypothetical protein
PMN2A_0212,AAZ57704.1,None,ferritin family protein
PMN2A_0213,AAZ57705.1,None,possible gram-negative pili assembly chaperone
PMN2A_0219,AAZ57711.1,None,conserved hypothetical protein
PMN2A_0220,AAZ57712.1,None,conserved hypothetical protein
PMN2A_1949,ABU23883.1,None,Conserved hypothetical protein
PMN2A_0229,AAZ57721.1,None,conserved hypothetical protein
PMN2A_0230,AAZ57722.1,None,hypothetical protein
PMN2A_0232,AAZ57724.1,None,conserved hypothetical protein
PMN2A_0238,AAZ57730.1,None,possible josephin
PMN2A_0240,AAZ57732.1,None,conserved hypothetical protein
PMN2A_0241,AAZ57733.1,None,conserved hypothetical protein
PMN2A_1950,ABU23884.1,None,Conserved hypothetical protein
PMN2A_0251,AAZ57743.1,None,possible GRAM domain
PMN2A_1951,ABU23885.1,None,Hypothetical protein
PMN2A_1952,ABU23886.1,None,Conserved hypothetical protein
PMN2A_0269,AAZ57761.1,None,conserved hypothetical protein
PMN2A_0273,AAZ57765.1,None,conserved hypothetical protein
PMN2A_1953,ABU23887.1,None,Conserved hypothetical protein
PMN2A_0286,AAZ57778.1,None,putative 4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family
PMN2A_1954,ABU23888.1,None,Conserved hypothetical protein
PMN2A_0287,AAZ57779.1,None,conserved hypothetical membrane protein
PMN2A_1955,ABU23889.1,None,Conserved hypothetical protein
PMN2A_0290,AAZ57782.1,None,cytochrome b6-f complex subunit VIII
PMN2A_1956,ABU23890.1,None,Conserved hypothetical protein
PMN2A_1957,ABU23891.1,None,Hypothetical protein
PMN2A_0343,AAZ57835.1,None,hypothetical protein
PMN2A_0344,AAZ57836.1,None,conserved hypothetical protein
PMN2A_1958,ABU23892.1,None,Conserved hypothetical protein
PMN2A_1959,ABU23893.1,None,Conserved hypothetical protein
PMN2A_1960,ABU23894.1,None,Conserved hypothetical protein
PMN2A_1961,ABU23895.1,None,Conserved hypothetical protein
PMN2A_0347,AAZ57839.1,None,hypothetical protein
PMN2A_0348,AAZ57840.1,None,hypothetical protein
PMN2A_1962,ABU23896.1,None,Conserved hypothetical protein
PMN2A_1963,ABU23897.1,None,Conserved hypothetical protein
PMN2A_0349,AAZ57841.1,None,hypothetical protein
PMN2A_1964,ABU23898.1,None,Conserved hypothetical protein
PMN2A_1965,ABU23899.1,None,Hypothetical protein
PMN2A_0351,AAZ57843.1,None,hypothetical protein
PMN2A_1966,ABU23900.1,None,Hypothetical protein
PMN2A_0370,AAZ57862.1,None,hypothetical protein
PMN2A_0386,AAZ57878.1,None,conserved hypothetical protein
PMN2A_0388,AAZ57880.1,None,uridine kinase
PMN2A_1967,ABU23901.1,None,Conserved hypothetical protein
PMN2A_1968,ABU23902.1,None,Conserved hypothetical protein
PMN2A_0389,AAZ57881.1,None,conserved hypothetical protein
PMN2A_1969,ABU23903.1,None,Conserved hypothetical protein
PMN2A_0390,AAZ57882.1,None,NADPH-dependent reductase
PMN2A_1970,ABU23904.1,None,Conserved hypothetical protein
PMN2A_1971,ABU23905.1,None,Conserved hypothetical protein
PMN2A_1972,ABU23906.1,None,Conserved hypothetical protein
PMN2A_1973,ABU23907.1,None,Conserved hypothetical protein
PMN2A_0391,AAZ57883.1,None,possible domain of unknown function DUF38
PMN2A_0392,AAZ57884.1,None,conserved hypothetical protein
PMN2A_1975,ABU23908.1,None,Conserved hypothetical protein
PMN2A_0394,AAZ57886.1,None,conserved hypothetical protein
PMN2A_0397,AAZ57889.1,None,conserved hypothetical protein
PMN2A_0398,AAZ57890.1,None,hypothetical protein
PMN2A_0400,AAZ57892.1,None,conserved hypothetical protein
PMN2A_0401,AAZ57893.1,None,conserved hypothetical protein
PMN2A_1976,ABU23909.1,None,Conserved hypothetical protein
PMN2A_0402,AAZ57894.1,None,hypothetical protein
PMN2A_0404,AAZ57896.1,None,hypothetical protein
PMN2A_0405,AAZ57897.1,None,hypothetical protein
PMN2A_0406,AAZ57898.1,None,uncharacterized membrane protein
PMN2A_1977,ABU23910.1,None,Conserved hypothetical protein
PMN2A_0407,AAZ57899.1,None,conserved hypothetical protein
PMN2A_1978,ABU23911.1,None,Hypothetical protein
PMN2A_1979,ABU23912.1,None,Conserved hypothetical protein
PMN2A_1980,ABU23913.1,None,Conserved hypothetical protein
PMN2A_0412,AAZ57904.1,None,conserved hypothetical protein
PMN2A_1981,ABU23914.1,None,Conserved hypothetical protein
PMN2A_1982,ABU23915.1,None,Conserved hypothetical protein
PMN2A_0414,AAZ57906.1,None,conserved hypothetical protein
PMN2A_0415,AAZ57907.1,None,conserved hypothetical protein
PMN2A_0416,AAZ57908.1,None,hypothetical protein
PMN2A_0417,AAZ57909.1,None,possible high light inducible protein
PMN2A_0418,AAZ57910.1,None,possible high light inducible protein
PMN2A_0419,AAZ57911.1,None,possible high light inducible protein
PMN2A_1983,ABU23916.1,None,Hypothetical protein
PMN2A_0420,AAZ57912.1,None,high light inducible protein hli11
PMN2A_0423,AAZ57915.1,None,hypothetical protein
PMN2A_1984,ABU23917.1,None,Conserved hypothetical protein
PMN2A_0425,AAZ57917.1,None,hypothetical protein
PMN2A_1985,ABU23918.1,None,Conserved hypothetical protein
PMN2A_1986,ABU23919.1,None,Conserved hypothetical protein
PMN2A_1987,ABU23920.1,None,Conserved hypothetical protein
PMN2A_1988,ABU23921.1,None,Conserved hypothetical protein
PMN2A_1989,ABU23922.1,None,Conserved hypothetical protein
PMN2A_0427,AAZ57919.1,None,hypothetical protein
PMN2A_0428,AAZ57920.1,None,conserved hypothetical protein
PMN2A_0430,AAZ57922.1,None,hypothetical protein
PMN2A_0431,AAZ57923.1,None,hypothetical protein
PMN2A_0432,AAZ57924.1,None,conserved hypothetical protein
PMN2A_1991,ABU23923.1,None,Conserved hypothetical protein
PMN2A_0434,AAZ57926.1,None,high light inducible protein hli11
PMN2A_1992,ABU23924.1,None,Conserved hypothetical protein
PMN2A_1993,ABU23925.1,None,Conserved hypothetical protein
PMN2A_1994,ABU23926.1,None,Conserved hypothetical protein
PMN2A_1995,ABU23927.1,None,Conserved hypothetical protein
PMN2A_1996,ABU23928.1,None,Conserved hypothetical protein
PMN2A_0438,AAZ57930.1,None,hypothetical protein
PMN2A_0442,AAZ57934.1,None,hypothetical protein
PMN2A_1998,ABU23930.1,None,Hypothetical protein
PMN2A_0448,AAZ57940.1,None,possible elongation factor Tu domain 2
PMN2A_0449,AAZ57941.1,None,"possible zinc finger, C2H2 type"
PMN2A_0453,AAZ57945.1,None,hypothetical protein
PMN2A_0454,AAZ57946.1,None,hypothetical protein
PMN2A_1999,ABU23931.1,None,Conserved hypothetical protein
PMN2A_2000,ABU23932.1,None,Conserved hypothetical protein
PMN2A_2001,ABU23933.1,None,Conserved hypothetical protein
PMN2A_2002,ABU23934.1,None,Conserved hypothetical protein
PMN2A_2003,ABU23935.1,None,Conserved hypothetical protein
PMN2A_2004,ABU23936.1,None,Conserved hypothetical protein
PMN2A_0457,AAZ57948.1,None,protein family PM-6
PMN2A_0458,AAZ57949.1,None,hypothetical protein
PMN2A_2005,ABU23937.1,None,Conserved hypothetical protein
PMN2A_0459,AAZ57950.1,None,hypothetical protein
PMN2A_0460,AAZ57951.1,None,conserved hypothetical protein
PMN2A_0461,AAZ57952.1,None,conserved hypothetical protein
PMN2A_0463,AAZ57954.1,None,protein family PM-11
PMN2A_2006,ABU23938.1,None,Conserved hypothetical protein
PMN2A_0465,AAZ57956.1,None,hypothetical protein
PMN2A_0466,AAZ57957.1,None,hypothetical protein
PMN2A_2007,ABU23939.1,None,Conserved hypothetical protein
PMN2A_2008,ABU23940.1,None,Conserved hypothetical protein
PMN2A_0467,AAZ57958.1,None,protein family PM-17
PMN2A_2009,ABU23941.1,None,Hypothetical protein
PMN2A_2010,ABU23942.1,None,Conserved hypothetical protein
PMN2A_0468,AAZ57959.1,None,hypothetical protein
PMN2A_0469,AAZ57960.1,None,protein family PM-11
PMN2A_0472,AAZ57963.1,None,hypothetical protein
PMN2A_0474,AAZ57965.1,None,protein family PM-10
PMN2A_2011,ABU23943.1,None,Conserved hypothetical protein
PMN2A_0479,AAZ57970.1,None,protein family PM-26
PMN2A_0480,AAZ57971.1,None,hypothetical protein
PMN2A_2012,ABU23944.1,None,Conserved hypothetical protein
PMN2A_0481,AAZ57972.1,None,hypothetical protein
PMN2A_0482,AAZ57973.1,None,conserved hypothetical protein
PMN2A_0483,AAZ57974.1,None,conserved hypothetical protein
PMN2A_2013,ABU23945.1,None,Conserved hypothetical protein
PMN2A_0484,AAZ57975.1,None,conserved hypothetical protein
PMN2A_0485,AAZ57976.1,None,membrane serine protease of rhomboid family
PMN2A_0486,AAZ57977.1,None,hypothetical protein
PMN2A_0488,AAZ57979.1,None,possible gram-negative pili assembly chaperone
PMN2A_0490,AAZ57981.1,None,hypothetical protein
PMN2A_2014,ABU23946.1,None,Conserved hypothetical protein
PMN2A_0493,AAZ57984.1,None,conserved hypothetical protein
PMN2A_2015,ABU23947.1,None,Conserved hypothetical protein
PMN2A_0494,AAZ57985.1,None,conserved hypothetical protein
PMN2A_2016,ABU23948.1,None,Conserved hypothetical protein
PMN2A_0495,AAZ57986.1,None,hypothetical protein
PMN2A_2017,ABU23949.1,None,Conserved hypothetical protein
PMN2A_2018,ABU23950.1,None,Hypothetical protein
PMN2A_2019,ABU23951.1,None,Conserved hypothetical protein
PMN2A_0496,AAZ57987.1,None,conserved hypothetical protein
PMN2A_2020,ABU23952.1,None,Conserved hypothetical protein
PMN2A_0498,AAZ57989.1,None,hypothetical protein
PMN2A_0499,AAZ57990.1,None,hypothetical protein
PMN2A_0500,AAZ57991.1,None,hypothetical protein
PMN2A_0502,AAZ57993.1,None,hypothetical protein
PMN2A_0504,AAZ57995.1,None,hypothetical protein
PMN2A_2021,ABU23953.1,None,Conserved hypothetical protein
PMN2A_0505,AAZ57996.1,None,hypothetical protein
PMN2A_0506,AAZ57997.1,None,hypothetical protein
PMN2A_0507,AAZ57998.1,None,possible high light inducible protein
PMN2A_0508,AAZ57999.1,None,possible high light inducible protein
PMN2A_2022,ABU23954.1,None,Hypothetical protein
PMN2A_2023,ABU23955.1,None,Hypothetical protein
PMN2A_0510,AAZ58001.1,None,conserved hypothetical protein
PMN2A_0511,AAZ58002.1,None,glutamine amidotransferase class-I
PMN2A_0512,AAZ58003.1,None,possible influenza non-structural protein (NS2)
PMN2A_2024,ABU23956.1,None,Conserved hypothetical protein
PMN2A_0513,AAZ58004.1,None,hypothetical protein
