Locus tag,Protein ID,Gene,Protein name
PMM0001,CAE18460.1,dnaN,"DNA polymerase III, beta chain"
PMM0002,CAE18461.1,None,conserved hypothetical protein
PMM0003,CAE18462.1,purL,phosphoribosylformylglycinamidine synthetase II
PMM0004,CAE18463.1,purF,Glutamine amidotransferase class-II:Phosphoribosyl transferase
PMM0005,CAE18464.1,None,"DNA gyrase/topoisomerase IV, subunit A"
PMM0006,CAE18465.1,None,conserved hypothetical protein
PMM0007,CAE18466.1,None,conserved hypothetical protein
PMM0008,CAE18467.1,None,conserved hypothetical protein
PMM0009,CAE18468.1,nusB,Antitermination protein NusB
PMM0010,CAE18469.1,ftsY,signal recognition particle docking protein FtsY
PMM0011,CAE18470.1,None,Protein phosphatase 2C domain
PMM0012,CAE18471.1,argH,Fumarate lyase:Delta crystallin
PMM0013,CAE18472.1,None,RNA-binding region RNP-1 (RNA recognition motif)
PMM0014,CAE18473.1,None,conserved hypothetical protein
PMM0015,CAE18474.1,None,Domain of unknown function DUF25
PMM0016,CAE18475.1,grpE,Heat shock protein GrpE
PMM0017,CAE18476.1,dnaJ,DnaJ protein
PMM0018,CAE18477.1,None,conserved hypothetical protein
PMM0019,CAE18478.1,None,conserved hypothetical protein
PMM0020,CAE18479.1,None,conserved hypothetical protein
PMM0021,CAE18480.1,murB,UDP-N-acetylenolpyruvoylglucosamine reductase
PMM0022,CAE18481.1,murC,Probable UDP-N-acetylmuramate-alanine ligase
PMM0023,CAE18482.1,gap2,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)
PMM0024,CAE18483.1,thiL,putative thiamine-monophosphate kinase
PMM0025,CAE18484.1,None,Cyclophilin-type peptidyl-prolyl cis-trans isomerase
PMM0026,CAE18485.1,efp,Elongation factor P (EF-P)
PMM0027,CAE18486.1,"accB,fabE",Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit
PMM0028,CAE18487.1,pdxA,putative pyridoxal phosphate biosynthetic protein PdxA
PMM0029,CAE18488.1,None,conserved hypothetical protein
PMM0031,CAE18490.1,None,HNH endonuclease:HNH nuclease
PMM0032,CAE18491.1,None,possible Bacterial type II secretion system pr
PMM0033,CAE18492.1,None,conserved hypothetical protein
PMM0034,CAE18493.1,None,conserved hypothetical protein
PMM0035,CAE18494.1,DHSS,soluble hydrogenase small subunit
PMM0036,CAE18495.1,None,CbiD protein
PMM0037,CAE18496.1,guaA,Glutamine amidotransferase class-I:GMP synthase
PMM0039,CAE18498.1,None,conserved hypothetical protein
PMM0040,CAE18499.1,None,Putative penicillin-binding protein
PMM0041,CAE18500.1,None,possible reductase
PMM0042,CAE18501.1,None,flavoprotein
PMM0043,CAE18502.1,None,flavoprotein
PMM0044,CAE18503.1,alaS,Alanyl-tRNA synthetase
PMM0045,CAE18504.1,None,Orn/DAP/Arg decarboxylases family 2
PMM0046,CAE18505.1,None,Nucleoside diphosphate kinase
PMM0047,CAE18506.1,thiO,PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE
PMM0048,CAE18507.1,gatB,Glutamyl-tRNA (Gln) amidotransferase subunit B
PMM0049,CAE18508.1,coaE,putative dephospho-CoA kinase
PMM0050,CAE18509.1,argJ,ArgJ family
PMM0052,CAE18511.1,None,Aldo/keto reductase family
PMM0053,CAE18512.1,None,Putative RNA methylase family UPF0020
PMM0054,CAE18513.1,None,conserved hypothetical protein
PMM0055,CAE18514.1,None,conserved hypothetical protein
PMM0056,CAE18515.1,None,conserved hypothetical protein
PMM0057,CAE18516.1,None,"putative chromosome segregation protein, SMC ATPase superfamily"
PMM0058,CAE18517.1,None,conserved hypothetical protein
PMM0059,CAE18518.1,None,conserved hypothetical protein
PMM0060,CAE18519.1,"accC, fabG","acetyl-CoA carboxylase, biotin carboxylase subunit"
PMM0061,CAE18520.1,None,"YGGT family, conserved hypothetical integral membrane protein"
