[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=PMM0002],[protein_id=CAE18461.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0002],[protein_id=CAE18461.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.68966E-175]
[locus_tag=PMM0003],[protein_id=CAE18462.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthetase II],[locus_tag=PMM0003],[protein_id=CAE18462.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthetase II],[evalue=0.00000E+00]
[locus_tag=PMM0004],[protein_id=CAE18463.1],[gene=purF],[protein=None],[locus_tag=PMM0004],[protein_id=CAE18463.1],[gene=purF],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1606],[protein_id=CAE20065.1],[gene=glmS],[protein=None],[evalue=3.35196E-14]
[locus_tag=PMM0005],[protein_id=CAE18464.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=PMM0005],[protein_id=CAE18464.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00]
[locus_tag=PMM0006],[protein_id=CAE18465.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0006],[protein_id=CAE18465.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0007],[protein_id=CAE18466.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0007],[protein_id=CAE18466.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0008],[protein_id=CAE18467.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0008],[protein_id=CAE18467.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.48820E-176]
[locus_tag=PMM0009],[protein_id=CAE18468.1],[gene=nusB],[protein=Antitermination protein NusB],[locus_tag=PMM0009],[protein_id=CAE18468.1],[gene=nusB],[protein=Antitermination protein NusB],[evalue=7.41742E-153]
[locus_tag=PMM0010],[protein_id=CAE18469.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[locus_tag=PMM0010],[protein_id=CAE18469.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[evalue=0.00000E+00],[locus_tag=PMM1286],[protein_id=CAE19745.1],[gene=ffh],[protein=None],[evalue=5.01319E-44]
[locus_tag=PMM0011],[protein_id=CAE18470.1],[gene=None],[protein=Protein phosphatase 2C domain],[locus_tag=PMM0011],[protein_id=CAE18470.1],[gene=None],[protein=Protein phosphatase 2C domain],[evalue=0.00000E+00]
