[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.72400E-142]
[locus_tag=Syncc8109_0003],[protein_id=AHF62429.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0002],[protein_id=CAE18461.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.23269E-63]
[locus_tag=Syncc8109_0004],[protein_id=AHF62430.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthase II],[locus_tag=PMM0003],[protein_id=CAE18462.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthetase II],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0005],[protein_id=AHF62431.1],[gene=purF],[protein=amidophosphoribosyltransferase],[locus_tag=PMM0004],[protein_id=CAE18463.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[evalue=0.00000E+00],[locus_tag=PMM1606],[protein_id=CAE20065.1],[gene=glmS],[protein=Glutamine--fructose-6-phosphate transaminase (isomerizing)],[evalue=8.98284E-09]
[locus_tag=Syncc8109_0006],[protein_id=AHF62432.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=PMM0005],[protein_id=CAE18464.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=1.66897E-06]
[locus_tag=Syncc8109_0007],[protein_id=AHF62433.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0006],[protein_id=CAE18465.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.17217E-63]
[locus_tag=Syncc8109_0008],[protein_id=AHF62434.1],[gene=None],[protein=4Fe-4S cluster binding protein],[locus_tag=PMM0007],[protein_id=CAE18466.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.61919E-127]
[locus_tag=Syncc8109_0010],[protein_id=AHF62436.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0008],[protein_id=CAE18467.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.66254E-138]
[locus_tag=Syncc8109_0011],[protein_id=AHF62437.1],[gene=None],[protein=NusB family protein],[locus_tag=PMM0009],[protein_id=CAE18468.1],[gene=nusB],[protein=Antitermination protein NusB],[evalue=6.77030E-56]
[locus_tag=Syncc8109_0012],[protein_id=AHF62438.1],[gene=ftsY],[protein=signal recognition particle-docking protein FtsY],[locus_tag=PMM0010],[protein_id=CAE18469.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[evalue=6.08475E-174],[locus_tag=PMM1286],[protein_id=CAE19745.1],[gene=ffh],[protein=signal recognition particle protein (SRP54)],[evalue=2.07479E-37]
[locus_tag=Syncc8109_0013],[protein_id=AHF62439.1],[gene=None],[protein=serine phosphatase],[locus_tag=PMM0011],[protein_id=CAE18470.1],[gene=None],[protein=Protein phosphatase 2C domain],[evalue=1.82929E-147]
