Locus tag,Protein ID,Gene,Protein name
[locus_tag=PMN2A_1328],[protein_id=AAZ58817.1],[gene=None],"[protein=DNA polymerase III, beta subunit]"
[locus_tag=PMN2A_1329],[protein_id=AAZ58818.1],[gene=None],[protein=RNA metabolism-related protein]
[locus_tag=PMN2A_1330],[protein_id=AAZ58819.1],[gene=None],[protein=phosphoribosylformylglycinamidine synthase subunit II]
[locus_tag=PMN2A_1331],[protein_id=AAZ58820.1],[gene=None],[protein=amidophosphoribosyltransferase]
[locus_tag=PMN2A_1332],[protein_id=AAZ58821.1],[gene=None],[protein=DNA topoisomerase IV subunit A]
[locus_tag=PMN2A_1333],[protein_id=AAZ58822.1],[gene=None],[protein=TPR repeat]
[locus_tag=PMN2A_1334],[protein_id=AAZ58823.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMN2A_1335],[protein_id=AAZ58824.1],[gene=None],[protein=uncharacterized conserved membrane protein]
[locus_tag=PMN2A_1336],[protein_id=AAZ58825.1],[gene=None],[protein=antitermination protein NusB]
[locus_tag=PMN2A_1337],[protein_id=AAZ58826.1],[gene=None],[protein=signal recognition particle-docking protein FtsY]
[locus_tag=PMN2A_1338],[protein_id=AAZ58827.1],[gene=None],[protein=serine phosphatase]
[locus_tag=PMN2A_1339],[protein_id=AAZ58828.1],[gene=None],[protein=argininosuccinate lyase]
[locus_tag=PMN2A_1340],[protein_id=AAZ58829.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)]
[locus_tag=PMN2A_1341],[protein_id=AAZ58830.1],[gene=None],"[protein=tRNA-U16,U17-dihydrouridine synthase]"
[locus_tag=PMN2A_1342],[protein_id=AAZ58831.1],[gene=None],[protein=methionine sulfoxide reductase B]
[locus_tag=PMN2A_1343],[protein_id=AAZ58832.1],[gene=None],"[protein=molecular chaperone GrpE, heat shock protein]"
[locus_tag=PMN2A_1344],[protein_id=AAZ58833.1],[gene=None],[protein=Heat shock protein DnaJ]
[locus_tag=PMN2A_1346],[protein_id=AAZ58835.1],[gene=None],[protein=GTPase EngC]
[locus_tag=PMN2A_1347],[protein_id=AAZ58836.1],[gene=None],[protein=Conserved hypothetical protein 103]
[locus_tag=PMN2A_1348],[protein_id=AAZ58837.1],[gene=None],[protein=UDP-N-acetylmuramate dehydrogenase]
[locus_tag=PMN2A_1349],[protein_id=AAZ58838.1],[gene=None],[protein=UDP-N-acetylmuramate--L-alanine ligase]
[locus_tag=PMN2A_1350],[protein_id=AAZ58839.1],[gene=None],[protein=glyceraldehyde 3-phosphate dehydrogenase (NADP+)]
[locus_tag=PMN2A_1351],[protein_id=AAZ58840.1],[gene=None],[protein=thiamine-phosphate kinase]
[locus_tag=PMN2A_1352],[protein_id=AAZ58841.1],[gene=None],[protein=peptidyl-prolyl cis-trans isomerase]
[locus_tag=PMN2A_1353],[protein_id=AAZ58842.1],[gene=None],[protein=translation elongation factor P (EF-P)]
[locus_tag=PMN2A_1354],[protein_id=AAZ58843.1],[gene=None],[protein=biotin carboxyl carrier protein]
[locus_tag=PMN2A_1355],[protein_id=AAZ58844.1],[gene=None],[protein=4-hydroxythreonine-4-phosphate dehydrogenase]
[locus_tag=PMN2A_1356],[protein_id=AAZ58845.1],[gene=None],[protein=NAD dependent epimerase/dehydratase]
[locus_tag=PMN2A_1358],[protein_id=AAZ58847.1],[gene=None],[protein=HNH nuclease]
