[locus_tag=SynWH8103_00008],[protein_id=CRY90766.1],[gene=None],[protein=uncharacterized conserved membrane protein]
[locus_tag=SynWH8103_00017],[protein_id=CRY90776.1],[gene=pilC],"[protein=type II secretory pathway, component PulF]"
[locus_tag=SynWH8103_00019],[protein_id=CRY90777.1],[gene=pilT1],[protein=twitching motility protein PilT]
[locus_tag=SynWH8103_00020],[protein_id=CRY90778.1],[gene=pilB],"[protein=type II secretory pathway, ATPase PulE/Tfp pilusassembly pathway, ATPase PilB]"
[locus_tag=SynWH8103_00023],[protein_id=CRY90781.1],[gene=None],[protein=putative predicted redox protein]
[locus_tag=SynWH8103_00028],[protein_id=CRY90786.1],[gene=None],[protein=hypothetical protein]
[locus_tag=SynWH8103_00036],[protein_id=CRY90793.1],[gene=None],[protein=hypothetical protein]
[locus_tag=SynWH8103_00039],[protein_id=CRY90796.1],[gene=None],[protein=ATP-dependent helicase]
[locus_tag=SynWH8103_00038],[protein_id=CRY90797.1],[gene=None],[protein=tetratricopeptide repeat family protein]
[locus_tag=SynWH8103_00042],[protein_id=CRY90800.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00043],[protein_id=CRY90801.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00057],[protein_id=CRY90813.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00064],[protein_id=CRY90820.1],[gene=None],[protein=uncharacterized conserved membrane protein]
[locus_tag=SynWH8103_00070],[protein_id=CRY90827.1],[gene=None],[protein=conserved hypothetical protien]
[locus_tag=SynWH8103_00073],[protein_id=CRY90829.1],[gene=None],[protein=putative ribonuclease VapC41]
[locus_tag=SynWH8103_00074],[protein_id=CRY90830.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00081],[protein_id=CRY90837.1],[gene=None],[protein=sulfotransferase family protein]
[locus_tag=SynWH8103_00083],[protein_id=CRY90839.1],[gene=psbZ],[protein=photosystem II protein PsbZ (ycf9)]
[locus_tag=SynWH8103_00085],[protein_id=CRY90841.1],[gene=None],[protein=sulfotransferase domain protein]
[locus_tag=SynWH8103_00086],[protein_id=CRY90842.1],[gene=None],[protein=glycosyl transferase 4 group family protein]
[locus_tag=SynWH8103_00089],[protein_id=CRY90844.1],[gene=None],[protein=hypothetical protein]
[locus_tag=SynWH8103_00091],[protein_id=CRY90846.1],[gene=None],"[protein=possible beta-glycosyltransferase, family 2]"
[locus_tag=SynWH8103_00092],[protein_id=CRY90847.1],[gene=None],"[protein=possible beta-glycosyltransferase, family 2]"
[locus_tag=SynWH8103_00094],[protein_id=CRY90848.1],[gene=None],[protein=sulfotransferase family protein]
[locus_tag=SynWH8103_00097],[protein_id=CRY90851.1],[gene=None],[protein=dienelactone hydrolase family protein]
[locus_tag=SynWH8103_00104],[protein_id=CRY90859.1],[gene=None],[protein=sulfotransferase family protein]
[locus_tag=SynWH8103_00105],[protein_id=CRY90860.1],[gene=None],[protein=hypothetical protein]
[locus_tag=SynWH8103_00108],[protein_id=CRY90863.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00109],[protein_id=CRY90864.1],[gene=None],[protein=methyltransferase domain protein]
[locus_tag=SynWH8103_00110],[protein_id=CRY90865.1],[gene=None],[protein=hypothetical protein]
[locus_tag=SynWH8103_00111],[protein_id=CRY90866.1],[gene=None],[protein=AAA domain family protein]
[locus_tag=SynWH8103_00112],[protein_id=CRY90867.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00114],[protein_id=CRY90869.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00115],[protein_id=None],[gene=None],[protein=None]
[locus_tag=SynWH8103_00119],[protein_id=CRY90872.1],[gene=None],[protein=hypothetical protein]
[locus_tag=SynWH8103_00120],[protein_id=CRY90873.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00122],[protein_id=CRY90875.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00131],[protein_id=CRY90884.1],[gene=None],"[protein=putative ABC transporter, sugar binding component]"
[locus_tag=SynWH8103_00135],[protein_id=CRY90888.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00136],[protein_id=CRY90889.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00137],[protein_id=CRY90890.1],[gene=egtD],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00138],[protein_id=CRY90891.1],[gene=egtB],[protein=conserved hypothetical protein]
[locus_tag=SynWH8103_00139],[protein_id=CRY90892.1],[gene=None],[protein=serine/threonine kinase domain protein]
[locus_tag=SynWH8103_00145],[protein_id=CRY90898.1],[gene=None],"[protein=phycobiliprotein lyase or activator, similar to otB]"
[locus_tag=SynWH8103_00148],[protein_id=CRY90901.1],[gene=None],[protein=hypothetical protein]
