[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=1.18003E-157]
[locus_tag=PMT_0002],[protein_id=CAE20177.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0002],[protein_id=CAE18461.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.72336E-69]
[locus_tag=PMT_0003],[protein_id=CAE20178.1],[gene=purL],[protein=phosphoribosylformylglycinamide synthetase II],[locus_tag=PMM0003],[protein_id=CAE18462.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthetase II],[evalue=0.00000E+00]
[locus_tag=PMT_0004],[protein_id=CAE20179.1],[gene=purF],[protein=None],[locus_tag=PMM0004],[protein_id=CAE18463.1],[gene=purF],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1606],[protein_id=CAE20065.1],[gene=glmS],[protein=None],[evalue=1.16731E-12]
[locus_tag=PMT_0005],[protein_id=CAE20180.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=PMM0005],[protein_id=CAE18464.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00]
[locus_tag=PMT_0006],[protein_id=CAE20181.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0006],[protein_id=CAE18465.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.47484E-64]
[locus_tag=PMT_0007],[protein_id=CAE20182.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0007],[protein_id=CAE18466.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.86104E-125]
[locus_tag=PMT_0009],[protein_id=CAE20184.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0008],[protein_id=CAE18467.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.20425E-138]
[locus_tag=PMT_0010],[protein_id=CAE20185.1],[gene=nusB],[protein=Antitermination protein NusB],[locus_tag=PMM0009],[protein_id=CAE18468.1],[gene=nusB],[protein=Antitermination protein NusB],[evalue=9.89617E-58]
[locus_tag=PMT_0011],[protein_id=CAE20186.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[locus_tag=PMM0010],[protein_id=CAE18469.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[evalue=1.55948E-169],[locus_tag=PMM1286],[protein_id=CAE19745.1],[gene=ffh],[protein=None],[evalue=1.97877E-35]
[locus_tag=PMT_0012],[protein_id=CAE20187.1],[gene=None],[protein=Protein phosphatase 2C domain],[locus_tag=PMM0011],[protein_id=CAE18470.1],[gene=None],[protein=Protein phosphatase 2C domain],[evalue=1.06086E-145]
[locus_tag=PMT_0013],[protein_id=CAE20188.1],[gene=argH],[protein=None],[locus_tag=PMM0012],[protein_id=CAE18471.1],[gene=argH],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1465],[protein_id=CAE19924.1],[gene=purB],[protein=None],[evalue=2.47446E-13]
[locus_tag=PMT_0014],[protein_id=CAE20189.1],[gene=None],[protein=None],[locus_tag=PMM0013],[protein_id=CAE18472.1],[gene=None],[protein=None],[evalue=2.45426E-45],[locus_tag=PMM1376],[protein_id=CAE19835.1],[gene=rbpD],[protein=RNA-binding protein RbpD],[evalue=6.21401E-35]
[locus_tag=PMT_0015],[protein_id=CAE20190.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0014],[protein_id=CAE18473.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.28270E-138],[locus_tag=PMM1009],[protein_id=CAE19468.1],[gene=None],[protein=putative nitrogen regulation protein NifR3 family homolog],[evalue=2.46138E-24]
[locus_tag=PMT_0016],[protein_id=CAE20191.1],[gene=None],[protein=Domain of unknown function DUF25],[locus_tag=PMM0015],[protein_id=CAE18474.1],[gene=None],[protein=Domain of unknown function DUF25],[evalue=1.20559E-79]
[locus_tag=PMT_0017],[protein_id=CAE20192.1],[gene=None],[protein=conserved hypohetical protein],[locus_tag=PMM1370],[protein_id=CAE19829.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.41691E-146]
