[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_0002],[protein_id=CAE20177.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH8103_00002],[protein_id=CRY90760.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.48000E-99]
[locus_tag=PMT_0003],[protein_id=CAE20178.1],[gene=purL],[protein=phosphoribosylformylglycinamide synthetase II],[locus_tag=SynWH8103_00003],[protein_id=CRY90761.1],[gene=purL],"[protein=phosphoribosylformylglycinamidine synthase, synthetase domain]",[evalue=0.00000E+00]
[locus_tag=PMT_0004],[protein_id=CAE20179.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[locus_tag=SynWH8103_00005],[protein_id=CRY90762.1],[gene=purF],[protein=amidophosphoribosyltransferase],[evalue=4.92100E-81]
[locus_tag=PMT_0005],[protein_id=CAE20180.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=SynWH8103_00004],[protein_id=CRY90763.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A family protein]",[evalue=0.00000E+00],[locus_tag=SynWH8103_00828],[protein_id=CRY91568.1],[gene=gyrA],[protein=DNA gyrase subunit A],[evalue=0.00000E+00]
[locus_tag=PMT_0006],[protein_id=CAE20181.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH8103_00006],[protein_id=CRY90764.1],[gene=None],[protein=tetratricopeptide repeat family protein],[evalue=6.20214E-113]
[locus_tag=PMT_0007],[protein_id=CAE20182.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH8103_00007],[protein_id=CRY90765.1],[gene=queG],[protein=epoxyqueuosine reductase],[evalue=6.35079E-169]
[locus_tag=PMT_0008],[protein_id=CAE20183.1],[gene=None],[protein=None],[locus_tag=SynWH8103_00008],[protein_id=CRY90766.1],[gene=None],[protein=uncharacterized conserved membrane protein],[evalue=1.18758E-61]
[locus_tag=PMT_0009],[protein_id=CAE20184.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH8103_00009],[protein_id=CRY90767.1],[gene=None],[protein=uncharacterized membrane protein (DUF502)],[evalue=3.43461E-155]
[locus_tag=PMT_0010],[protein_id=CAE20185.1],[gene=nusB],[protein=Antitermination protein NusB],[locus_tag=SynWH8103_00010],[protein_id=CRY90768.1],[gene=nusB],[protein=transcription antitermination protein NusB],[evalue=7.85907E-89]
[locus_tag=PMT_0011],[protein_id=CAE20186.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[locus_tag=SynWH8103_00011],[protein_id=CRY90769.1],[gene=ftsY],[protein=signal recognition particle-docking protein FtsY],[evalue=0.00000E+00],[locus_tag=SynWH8103_01845],[protein_id=CRY92570.1],[gene=ffh],[protein=signal recognition particle protein],[evalue=1.14313E-33]
[locus_tag=PMT_0012],[protein_id=CAE20187.1],[gene=None],[protein=Protein phosphatase 2C domain],[locus_tag=SynWH8103_00012],[protein_id=CRY90770.1],[gene=rsbU],"[protein=serine phosphatase RsbU, sigma subunit regulator]",[evalue=0.00000E+00]
[locus_tag=PMT_0013],[protein_id=CAE20188.1],[gene=argH],[protein=Fumarate lyase:Delta crystallin],[locus_tag=SynWH8103_00013],[protein_id=CRY90771.1],[gene=argH],[protein=argininosuccinate lyase],[evalue=0.00000E+00]
[locus_tag=PMT_0014],[protein_id=CAE20189.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[locus_tag=SynWH8103_00014],[protein_id=CRY90772.1],[gene=None],[protein=RNA-binding domain RNP-1 (RNA recognition motif)containing protein],[evalue=8.01503E-56],[locus_tag=SynWH8103_01055],[protein_id=CRY91789.1],[gene=None],"[protein=RNA-binding protein, RRM domain]",[evalue=7.52330E-32],[locus_tag=SynWH8103_01526],[protein_id=CRY92253.1],[gene=None],"[protein=RNA-binding protein, RRM domain]",[evalue=2.10315E-30]
