[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=7.58933E-157]
[locus_tag=SynWH7803_0002],[protein_id=CAK22428.1],[gene=None],[protein=RNA metabolism-related protein],[locus_tag=PMM0002],[protein_id=CAE18461.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.21555E-70]
[locus_tag=SynWH7803_0003],[protein_id=CAK22429.1],[gene=purL],"[protein=Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain]",[locus_tag=PMM0003],[protein_id=CAE18462.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthetase II],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0004],[protein_id=CAK22430.1],[gene=purF],[protein=Glutamine phosphoribosyl pyrophosphate amidotransferase],[locus_tag=PMM0004],[protein_id=CAE18463.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[evalue=1.16660E-80],[locus_tag=PMM1606],[protein_id=CAE20065.1],[gene=glmS],[protein=Glutamine--fructose-6-phosphate transaminase (isomerizing)],[evalue=1.59536E-17]
[locus_tag=SynWH7803_0005],[protein_id=CAK22431.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=PMM0005],[protein_id=CAE18464.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_0006],[protein_id=CAK22432.1],[gene=None],[protein=Secreted Tetratricopeptide protein],[locus_tag=PMM0006],[protein_id=CAE18465.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.65489E-60]
[locus_tag=SynWH7803_0007],[protein_id=CAK22433.1],[gene=None],[protein=Uncharacterized Fe-S protein],[locus_tag=PMM0007],[protein_id=CAE18466.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.52540E-123]
[locus_tag=SynWH7803_0009],[protein_id=CAK22435.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0008],[protein_id=CAE18467.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.96280E-140]
[locus_tag=SynWH7803_0010],[protein_id=CAK22436.1],[gene=nusB],"[protein=Transcription termination factor, NusB]",[locus_tag=PMM0009],[protein_id=CAE18468.1],[gene=nusB],[protein=Antitermination protein NusB],[evalue=1.18357E-61]
[locus_tag=SynWH7803_0011],[protein_id=CAK22437.1],[gene=ftsY],"[protein=Signal recognition particle GTPase, FtsY]",[locus_tag=PMM0010],[protein_id=CAE18469.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[evalue=1.98125E-174],[locus_tag=PMM1286],[protein_id=CAE19745.1],[gene=ffh],[protein=signal recognition particle protein (SRP54)],[evalue=7.58527E-38]
[locus_tag=SynWH7803_0012],[protein_id=CAK22438.1],[gene=rsbU],"[protein=Serine phosphatase RsbU, regulator of sigma subunit]",[locus_tag=PMM0011],[protein_id=CAE18470.1],[gene=None],[protein=Protein phosphatase 2C domain],[evalue=6.40231E-149]
[locus_tag=SynWH7803_0013],[protein_id=CAK22439.1],[gene=argH],[protein=Argininosuccinate lyase],[locus_tag=PMM0012],[protein_id=CAE18471.1],[gene=argH],[protein=Fumarate lyase:Delta crystallin],[evalue=0.00000E+00],[locus_tag=PMM1465],[protein_id=CAE19924.1],[gene=purB],[protein=Fumarate lyase:Adenylosuccinate lyase],[evalue=5.32041E-11]
[locus_tag=SynWH7803_0014],[protein_id=CAK22440.1],[gene=None],"[protein=RNA-binding protein, RRM domain]",[locus_tag=PMM0013],[protein_id=CAE18472.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=7.39140E-45],[locus_tag=PMM1376],[protein_id=CAE19835.1],[gene=rbpD],[protein=RNA-binding protein RbpD],[evalue=5.14829E-33]
[locus_tag=SynWH7803_0015],[protein_id=CAK22441.1],[gene=dusA],[protein=tRNA-dihydrouridine synthase A],[locus_tag=PMM0014],[protein_id=CAE18473.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.53893E-143],[locus_tag=PMM1009],[protein_id=CAE19468.1],[gene=None],[protein=putative nitrogen regulation protein NifR3 family homolog],[evalue=3.07764E-26]
[locus_tag=SynWH7803_0016],[protein_id=CAK22442.1],[gene=msrB],[protein=Peptide methionine sulfoxide reductase],[locus_tag=PMM0015],[protein_id=CAE18474.1],[gene=None],[protein=Domain of unknown function DUF25],[evalue=8.93937E-82]
[locus_tag=SynWH7803_0017],[protein_id=CAK22443.1],[gene=None],[protein=Predicted flavoprotein],[locus_tag=PMM1370],[protein_id=CAE19829.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.23160E-129]
[locus_tag=SynWH7803_0022],[protein_id=CAK22448.1],[gene=grpE],"[protein=Molecular chaperone GrpE, heat shock protein]",[locus_tag=PMM0016],[protein_id=CAE18475.1],[gene=grpE],[protein=Heat shock protein GrpE],[evalue=6.10991E-92]
[locus_tag=SynWH7803_0023],[protein_id=CAK22449.1],[gene=None],[protein=DnaJ-class molecular chaperone],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=0.00000E+00],[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein],[evalue=3.99052E-25]
[locus_tag=SynWH7803_0024],[protein_id=CAK22450.1],[gene=None],[protein=Conserved hypothetical protein with conserved cysteine containing domain 1 Ccd1],[locus_tag=PMM0018],[protein_id=CAE18477.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.36078E-13]
[locus_tag=SynWH7803_0025],[protein_id=CAK22451.1],[gene=engC],[protein=Probable GTPase engC],[locus_tag=PMM0019],[protein_id=CAE18478.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.63475E-76]
[locus_tag=SynWH7803_0026],[protein_id=CAK22452.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0020],[protein_id=CAE18479.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.52327E-50]
[locus_tag=SynWH7803_0027],[protein_id=CAK22453.1],[gene=murB],[protein=UDP-N-acetylmuramate dehydrogenase],[locus_tag=PMM0021],[protein_id=CAE18480.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[evalue=3.25683E-89]
[locus_tag=SynWH7803_0028],[protein_id=CAK22454.1],[gene=murC],[protein=UDP-N-acetylmuramate-alanine ligase],[locus_tag=PMM0022],[protein_id=CAE18481.1],[gene=murC],[protein=Probable UDP-N-acetylmuramate-alanine ligase],[evalue=2.71360E-138]
[locus_tag=SynWH7803_0029],[protein_id=CAK22455.1],[gene=gap1],[protein=Glyceraldehyde-3-phosphate dehydrogenase],[locus_tag=PMM0023],[protein_id=CAE18482.1],[gene=gap2],[protein=Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)],[evalue=0.00000E+00],[locus_tag=PMM0713],[protein_id=CAE19172.1],[gene=gap1],[protein=Putative glyceraldehyde 3-phosphate dehydrogenase],[evalue=4.89857E-85]
[locus_tag=SynWH7803_0030],[protein_id=CAK22456.1],[gene=thiL],[protein=Thiamine monophosphate kinase],[locus_tag=PMM0024],[protein_id=CAE18483.1],[gene=thiL],[protein=putative thiamine-monophosphate kinase],[evalue=3.93056E-86]
[locus_tag=SynWH7803_0031],[protein_id=CAK22457.1],[gene=None],[protein=Peptidyl-prolyl cis-trans isomerase],[locus_tag=PMM0025],[protein_id=CAE18484.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=3.00560E-143]
[locus_tag=SynWH7803_0032],[protein_id=CAK22458.1],[gene=efp],[protein=Translation elongation factor P],[locus_tag=PMM0026],[protein_id=CAE18485.1],[gene=efp],[protein=Elongation factor P (EF-P)],[evalue=5.77186E-111]
[locus_tag=SynWH7803_0033],[protein_id=CAK22459.1],[gene=accB],[protein=Biotin carboxyl carrier protein of acetyl-CoA carboxylase],[locus_tag=PMM0027],[protein_id=CAE18486.1],"[gene=accB,fabE]",[protein=Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit],[evalue=1.97406E-64]
[locus_tag=SynWH7803_0034],[protein_id=CAK22460.1],[gene=pdxA],[protein=4-hydroxythreonine-4-phosphate dehydrogenase],[locus_tag=PMM0028],[protein_id=CAE18487.1],[gene=pdxA],[protein=putative pyridoxal phosphate biosynthetic protein PdxA],[evalue=7.54656E-115]
[locus_tag=SynWH7803_0036],[protein_id=CAK22462.1],[gene=wcaG],[protein=Nucleoside-diphosphate-sugar epimerase],[locus_tag=PMM0029],[protein_id=CAE18488.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.08231E-104]
[locus_tag=SynWH7803_0038],[protein_id=CAK22464.1],[gene=None],[protein=McrA/HNH family nuclease],[locus_tag=PMM0031],[protein_id=CAE18490.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[evalue=9.70710E-73],[locus_tag=PMM1403],[protein_id=CAE19862.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[evalue=3.13776E-72],[locus_tag=PMM0982],[protein_id=CAE19441.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[evalue=1.05346E-54]
[locus_tag=SynWH7803_0041],[protein_id=CAK22467.1],[gene=None],[protein=Conserved hypothetical protein a with signal peptide],[locus_tag=PMM0032],[protein_id=CAE18491.1],[gene=None],[protein=possible Bacterial type II secretion system pr],[evalue=3.52058E-20]
[locus_tag=SynWH7803_0042],[protein_id=CAK22468.1],[gene=None],[protein=Uncharacterized AbrB family conserved membrane protein],[locus_tag=PMM0033],[protein_id=CAE18492.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.80578E-79]
[locus_tag=SynWH7803_0044],[protein_id=CAK22470.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0034],[protein_id=CAE18493.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.80715E-22]
[locus_tag=SynWH7803_0046],[protein_id=CAK22472.1],[gene=None],"[protein=DHSS soluble hydrogenase, small subunit]",[locus_tag=PMM0035],[protein_id=CAE18494.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=0.00000E+00],[locus_tag=PMM0919],[protein_id=CAE19378.1],"[gene=spt, agt]",[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[evalue=8.37718E-58]
[locus_tag=SynWH7803_0047],[protein_id=CAK22473.1],[gene=cbiD],[protein=Cobalamin biosynthesis protein CbiD],[locus_tag=PMM0036],[protein_id=CAE18495.1],[gene=None],[protein=CbiD protein],[evalue=8.31881E-105]
[locus_tag=SynWH7803_0048],[protein_id=CAK22474.1],[gene=guaA],[protein=GMP synthase (glutamine-hydrolyzing)],[locus_tag=PMM0037],[protein_id=CAE18496.1],[gene=guaA],[protein=Glutamine amidotransferase class-I:GMP synthase],[evalue=0.00000E+00],[locus_tag=PMM0184],[protein_id=CAE18643.1],[gene=pabA],[protein=para-aminobenzoate synthase component II],[evalue=1.82921E-17]
[locus_tag=SynWH7803_0049],[protein_id=CAK22475.1],[gene=None],[protein=Conserved hyothetical protein],[locus_tag=PMM0039],[protein_id=CAE18498.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.48745E-89]
[locus_tag=SynWH7803_0051],[protein_id=CAK22477.1],[gene=None],[protein=Cell division protein FtsI / penicillin-binding protein 2],[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[evalue=0.00000E+00],[locus_tag=PMM0518],[protein_id=CAE18977.1],[gene=ftsI],[protein=putative peptidoglycan synthetase (pbp transpeptidase domain)],[evalue=2.29342E-25]
[locus_tag=SynWH7803_0052],[protein_id=CAK22478.1],[gene=None],[protein=Glycosyltransferase of family GT4; possible alpha-mannosyltransferase],[locus_tag=PMM1666],[protein_id=CAE20125.1],[gene=sqdX],[protein=SqdX],[evalue=0.00000E+00],[locus_tag=PMM0397],[protein_id=CAE18856.1],[gene=None],"[protein=possible Glycosyl transferase, group 1]",[evalue=4.06518E-11]
[locus_tag=SynWH7803_0053],[protein_id=CAK22479.1],[gene=None],[protein=sulfolipid biosynthesis protein (UDP-sulfoquinovose synthase)],[locus_tag=PMM1665],[protein_id=CAE20124.1],[gene=sqdB],[protein=sulfolipid (UDP-sulfoquinovose) biosynthesis protein],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0055],[protein_id=CAK22481.1],[gene=thiG],[protein=Thiazole biosynthesis protein ThiG],[locus_tag=PMM1664],[protein_id=CAE20123.1],[gene=thiG],[protein=thiamin biosynthesis protein],[evalue=1.55550E-114]
