[locus_tag=PMN2A_1328],[protein_id=AAZ58817.1],[gene=None],"[protein=DNA polymerase III, beta subunit]",[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[evalue=0.00000E+00]
[locus_tag=PMN2A_1329],[protein_id=AAZ58818.1],[gene=None],[protein=RNA metabolism-related protein],[locus_tag=SynWH7803_0002],[protein_id=CAK22428.1],[gene=None],[protein=RNA metabolism-related protein],[evalue=3.26850E-77]
[locus_tag=PMN2A_1330],[protein_id=AAZ58819.1],[gene=None],[protein=phosphoribosylformylglycinamidine synthase subunit II],[locus_tag=SynWH7803_0003],[protein_id=CAK22429.1],[gene=purL],"[protein=Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain]",[evalue=0.00000E+00]
[locus_tag=PMN2A_1331],[protein_id=AAZ58820.1],[gene=None],[protein=amidophosphoribosyltransferase],[locus_tag=SynWH7803_0004],[protein_id=CAK22430.1],[gene=purF],[protein=Glutamine phosphoribosyl pyrophosphate amidotransferase],[evalue=2.01448E-81],[locus_tag=SynWH7803_0199],[protein_id=CAK22625.1],[gene=glmS],[protein=Glucosamine-6-phosphate synthetase],[evalue=1.96890E-17]
[locus_tag=PMN2A_1332],[protein_id=AAZ58821.1],[gene=None],[protein=DNA topoisomerase IV subunit A],[locus_tag=SynWH7803_0005],[protein_id=CAK22431.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=SynWH7803_1589],[protein_id=CAK24015.1],[gene=gyrA],[protein=DNA gyrase subunit A],[evalue=0.00000E+00]
[locus_tag=PMN2A_1333],[protein_id=AAZ58822.1],[gene=None],[protein=TPR repeat],[locus_tag=SynWH7803_0006],[protein_id=CAK22432.1],[gene=None],[protein=Secreted Tetratricopeptide protein],[evalue=1.04569E-59]
[locus_tag=PMN2A_1334],[protein_id=AAZ58823.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0007],[protein_id=CAK22433.1],[gene=None],[protein=Uncharacterized Fe-S protein],[evalue=4.00097E-142]
[locus_tag=PMN2A_1335],[protein_id=AAZ58824.1],[gene=None],[protein=uncharacterized conserved membrane protein],[locus_tag=SynWH7803_0009],[protein_id=CAK22435.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=4.78910E-137]
[locus_tag=PMN2A_1336],[protein_id=AAZ58825.1],[gene=None],[protein=antitermination protein NusB],[locus_tag=SynWH7803_0010],[protein_id=CAK22436.1],[gene=nusB],"[protein=Transcription termination factor, NusB]",[evalue=9.57982E-80]
[locus_tag=PMN2A_1337],[protein_id=AAZ58826.1],[gene=None],[protein=signal recognition particle-docking protein FtsY],[locus_tag=SynWH7803_0011],[protein_id=CAK22437.1],[gene=ftsY],"[protein=Signal recognition particle GTPase, FtsY]",[evalue=0.00000E+00],[locus_tag=SynWH7803_1731],[protein_id=CAK24157.1],[gene=ffh],[protein=Signal recognition particle protein],[evalue=1.12251E-37]
