Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMN2A_1328,AAZ58817.1,None,"DNA polymerase III, beta subunit",WB44_11300,AKN61578.1,None,DNA polymerase III subunit beta,1.30691E-170,,,,,,,,,,
PMN2A_1329,AAZ58818.1,None,RNA metabolism-related protein,WB44_11305,AKN61579.1,None,RNA methyltransferase,7.22297E-85,,,,,,,,,,
PMN2A_1330,AAZ58819.1,None,phosphoribosylformylglycinamidine synthase subunit II,WB44_11310,AKN61580.1,None,phosphoribosylformylglycinamidine synthase,0.00000E+00,,,,,,,,,,
PMN2A_1331,AAZ58820.1,None,amidophosphoribosyltransferase,WB44_11315,AKN61581.1,None,amidophosphoribosyltransferase,6.61234E-81,WB44_12020,AKN61699.1,None,glutamine amidotransferase,8.43170E-18,,,,,
PMN2A_1332,AAZ58821.1,None,DNA topoisomerase IV subunit A,WB44_11320,AKN61582.1,None,topoisomerase IV,0.00000E+00,WB44_02350,AKN60150.1,None,DNA gyrase subunit A,0.00000E+00,,,,,
PMN2A_1333,AAZ58822.1,None,TPR repeat,WB44_11325,AKN61583.1,None,hypothetical protein,8.10942E-55,,,,,,,,,,
PMN2A_1334,AAZ58823.1,None,conserved hypothetical protein,WB44_11330,AKN61584.1,None,epoxyqueuosine reductase,1.05207E-146,,,,,,,,,,
PMN2A_1335,AAZ58824.1,None,uncharacterized conserved membrane protein,WB44_11340,AKN61586.1,None,hypothetical protein,3.97689E-143,,,,,,,,,,
PMN2A_1336,AAZ58825.1,None,antitermination protein NusB,WB44_11345,AKN62398.1,None,antitermination protein NusB,3.08621E-72,,,,,,,,,,
PMN2A_1337,AAZ58826.1,None,signal recognition particle-docking protein FtsY,WB44_11350,AKN61587.1,None,cell division protein FtsY,0.00000E+00,WB44_00975,AKN59932.1,None,signal recognition particle,5.25271E-37,,,,,
PMN2A_1338,AAZ58827.1,None,serine phosphatase,WB44_11355,AKN61588.1,None,serine/threonine protein phosphatase,0.00000E+00,,,,,,,,,,
PMN2A_1339,AAZ58828.1,None,argininosuccinate lyase,WB44_11360,AKN61589.1,None,argininosuccinate lyase,0.00000E+00,,,,,,,,,,
PMN2A_1340,AAZ58829.1,None,RNA-binding region RNP-1 (RNA recognition motif),WB44_11365,AKN61590.1,None,RNA-binding protein,9.14391E-43,WB44_02705,AKN60208.1,None,RNA-binding protein,1.91916E-30,,,,,
PMN2A_1341,AAZ58830.1,None,"tRNA-U16,U17-dihydrouridine synthase",WB44_11370,AKN62399.1,None,tRNA-dihydrouridine synthase A,1.91419E-147,WB44_00140,AKN59793.1,None,tRNA-dihydrouridine synthase,6.51978E-20,,,,,
PMN2A_1342,AAZ58831.1,None,methionine sulfoxide reductase B,WB44_11375,AKN61591.1,None,methionine sulfoxide reductase B,1.39161E-74,WB44_09095,AKN61228.1,None,methionine sulfoxide reductase B,1.35213E-34,,,,,
PMN2A_1343,AAZ58832.1,None,"molecular chaperone GrpE, heat shock protein",WB44_11400,AKN61594.1,None,molecular chaperone GrpE,5.49822E-99,,,,,,,,,,
PMN2A_1344,AAZ58833.1,None,Heat shock protein DnaJ,WB44_11405,AKN61595.1,None,molecular chaperone DnaJ,0.00000E+00,WB44_08835,AKN61186.1,None,molecular chaperone DnaJ,7.27423E-23,WB44_08835,AKN61186.1,None,molecular chaperone DnaJ,4.87618E-22
PMN2A_1345,AAZ58834.1,None,conserved hypothetical protein,WB44_11410,AKN61596.1,None,redox protein,1.37595E-18,,,,,,,,,,
PMN2A_1346,AAZ58835.1,None,GTPase EngC,WB44_11415,AKN62402.1,None,ribosome biogenesis GTPase RsgA,9.04630E-99,,,,,,,,,,
PMN2A_1347,AAZ58836.1,None,Conserved hypothetical protein 103,WB44_11420,AKN61597.1,None,nucleoid-associated protein,4.83011E-60,,,,,,,,,,
PMN2A_1348,AAZ58837.1,None,UDP-N-acetylmuramate dehydrogenase,WB44_11425,AKN61598.1,None,UDP-N-acetylenolpyruvoylglucosamine reductase,2.29270E-106,,,,,,,,,,
PMN2A_1349,AAZ58838.1,None,UDP-N-acetylmuramate--L-alanine ligase,WB44_11430,AKN61599.1,None,UDP-N-acetylmuramate--alanine ligase,1.29517E-152,,,,,,,,,,
PMN2A_1350,AAZ58839.1,None,glyceraldehyde 3-phosphate dehydrogenase (NADP+),WB44_11435,AKN61600.1,None,glyceraldehyde-3-phosphate dehydrogenase,0.00000E+00,WB44_01885,AKN60075.1,None,glyceraldehyde-3-phosphate dehydrogenase,7.66030E-98,WB44_04915,AKN60560.1,None,glyceraldehyde-3-phosphate dehydrogenase,7.28390E-86
PMN2A_1351,AAZ58840.1,None,thiamine-phosphate kinase,WB44_11440,AKN61601.1,None,thiamine monophosphate kinase,1.88029E-109,,,,,,,,,,
