[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[evalue=1.10156E-156]
[locus_tag=PMM0002],[protein_id=CAE18461.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0002],[protein_id=CAK22428.1],[gene=None],[protein=RNA metabolism-related protein],[evalue=2.02073E-64]
[locus_tag=PMM0003],[protein_id=CAE18462.1],[gene=purL],[protein=phosphoribosylformylglycinamidine synthetase II],[locus_tag=SynWH7803_0003],[protein_id=CAK22429.1],[gene=purL],"[protein=Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain]",[evalue=0.00000E+00]
[locus_tag=PMM0004],[protein_id=CAE18463.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[locus_tag=SynWH7803_0004],[protein_id=CAK22430.1],[gene=purF],[protein=Glutamine phosphoribosyl pyrophosphate amidotransferase],[evalue=1.70385E-80],[locus_tag=SynWH7803_0199],[protein_id=CAK22625.1],[gene=glmS],[protein=Glucosamine-6-phosphate synthetase],[evalue=2.58746E-19]
[locus_tag=PMM0005],[protein_id=CAE18464.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=SynWH7803_0005],[protein_id=CAK22431.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=SynWH7803_1589],[protein_id=CAK24015.1],[gene=gyrA],[protein=DNA gyrase subunit A],[evalue=0.00000E+00]
[locus_tag=PMM0006],[protein_id=CAE18465.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0006],[protein_id=CAK22432.1],[gene=None],[protein=Secreted Tetratricopeptide protein],[evalue=2.31294E-60]
[locus_tag=PMM0007],[protein_id=CAE18466.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0007],[protein_id=CAK22433.1],[gene=None],[protein=Uncharacterized Fe-S protein],[evalue=5.07318E-123]
[locus_tag=PMM0008],[protein_id=CAE18467.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0009],[protein_id=CAK22435.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=1.04859E-133]
[locus_tag=PMM0009],[protein_id=CAE18468.1],[gene=nusB],[protein=Antitermination protein NusB],[locus_tag=SynWH7803_0010],[protein_id=CAK22436.1],[gene=nusB],"[protein=Transcription termination factor, NusB]",[evalue=3.26781E-66]
[locus_tag=PMM0010],[protein_id=CAE18469.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[locus_tag=SynWH7803_0011],[protein_id=CAK22437.1],[gene=ftsY],"[protein=Signal recognition particle GTPase, FtsY]",[evalue=8.40495E-173],[locus_tag=SynWH7803_1731],[protein_id=CAK24157.1],[gene=ffh],[protein=Signal recognition particle protein],[evalue=9.93150E-35]
[locus_tag=PMM0011],[protein_id=CAE18470.1],[gene=None],[protein=Protein phosphatase 2C domain],[locus_tag=SynWH7803_0012],[protein_id=CAK22438.1],[gene=rsbU],"[protein=Serine phosphatase RsbU, regulator of sigma subunit]",[evalue=8.92975E-149]
[locus_tag=PMM0012],[protein_id=CAE18471.1],[gene=argH],[protein=Fumarate lyase:Delta crystallin],[locus_tag=SynWH7803_0013],[protein_id=CAK22439.1],[gene=argH],[protein=Argininosuccinate lyase],[evalue=0.00000E+00],[locus_tag=SynWH7803_2038],[protein_id=CAK24464.1],[gene=purB],[protein=Adenylosuccinate lyase],[evalue=7.93761E-14]
[locus_tag=PMM0013],[protein_id=CAE18472.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[locus_tag=SynWH7803_0014],[protein_id=CAK22440.1],[gene=None],"[protein=RNA-binding protein, RRM domain]",[evalue=3.29818E-37],[locus_tag=SynWH7803_1514],[protein_id=CAK23940.1],[gene=rbpD],"[protein=RNA-binding protein, RRM domain]",[evalue=1.22880E-30]
[locus_tag=PMM0014],[protein_id=CAE18473.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0015],[protein_id=CAK22441.1],[gene=dusA],[protein=tRNA-dihydrouridine synthase A],[evalue=1.58588E-138],[locus_tag=SynWH7803_0564],[protein_id=CAK22990.1],[gene=dus],[protein=Probable tRNA-dihydrouridine synthase],[evalue=1.14852E-20]
[locus_tag=PMM0015],[protein_id=CAE18474.1],[gene=None],[protein=Domain of unknown function DUF25],[locus_tag=SynWH7803_0016],[protein_id=CAK22442.1],[gene=msrB],[protein=Peptide methionine sulfoxide reductase],[evalue=1.25002E-81],[locus_tag=SynWH7803_2126],[protein_id=CAK24552.1],[gene=msrB],[protein=Peptide methionine sulfoxide reductase MsrB],[evalue=5.97766E-44]
[locus_tag=PMM0016],[protein_id=CAE18475.1],[gene=grpE],[protein=Heat shock protein GrpE],[locus_tag=SynWH7803_0022],[protein_id=CAK22448.1],[gene=grpE],"[protein=Molecular chaperone GrpE, heat shock protein]",[evalue=3.42039E-91]
[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[locus_tag=SynWH7803_0023],[protein_id=CAK22449.1],[gene=None],[protein=DnaJ-class molecular chaperone],[evalue=0.00000E+00],[locus_tag=SynWH7803_2100],[protein_id=CAK24526.1],[gene=dnaJ],[protein=DnaJ-class molecular chaperone],[evalue=1.72457E-22],[locus_tag=SynWH7803_2100],[protein_id=CAK24526.1],[gene=dnaJ],[protein=DnaJ-class molecular chaperone],[evalue=1.01239E-20]
[locus_tag=PMM0018],[protein_id=CAE18477.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0024],[protein_id=CAK22450.1],[gene=None],[protein=Conserved hypothetical protein with conserved cysteine containing domain 1 Ccd1],[evalue=1.92080E-13]
