Locus tag,Protein ID,Gene,Protein name
PMN2A_1357,AAZ58846.1,None,hypothetical protein
PMN2A_1360,AAZ58849.1,None,conserved hypothetical protein
PMN2A_1366,AAZ58854.1,None,TPR repeat
PMN2A_1367,AAZ58855.1,None,hypothetical protein
PMN2A_1368,AAZ58856.1,None,kef-type K+ transport system predicted NAD-binding component
PMN2A_1372,AAZ58860.1,None,conserved hypothetical protein
PMN2A_1384,AAZ58872.1,None,hypothetical protein
PMN2A_1385,AAZ58873.1,None,putative Poly(3-hydroxybutyrate) depolymerase
PMN2A_1897,ABU23835.1,None,Conserved hypothetical protein
PMN2A_1387,AAZ58875.1,None,hypothetical protein
PMN2A_1388,AAZ58876.1,None,hypothetical protein
PMN2A_1389,AAZ58877.1,None,C-type lectin
PMN2A_1898,ABU23836.1,None,Conserved hypothetical protein
PMN2A_1391,AAZ58879.1,None,hypothetical protein
PMN2A_1393,AAZ58881.1,None,conserved hypothetical protein
PMN2A_1899,ABU23837.1,None,Conserved hypothetical protein
PMN2A_1900,ABU23838.1,None,Conserved hypothetical protein
PMN2A_1901,ABU23839.1,None,Conserved hypothetical protein
PMN2A_1902,ABU23840.1,None,Conserved hypothetical protein
PMN2A_1394,AAZ58882.1,None,hypothetical protein
PMN2A_1395,AAZ58883.1,None,conserved hypothetical protein
PMN2A_1396,AAZ58884.1,None,hypothetical protein
PMN2A_1903,ABU23841.1,None,Conserved hypothetical protein
PMN2A_1397,AAZ58885.1,None,hypothetical protein
PMN2A_1400,AAZ58888.1,None,hypothetical protein
PMN2A_1405,AAZ58893.1,None,hypothetical protein
PMN2A_1406,AAZ58894.1,None,hypothetical protein
PMN2A_1412,AAZ58900.1,None,hypothetical protein
PMN2A_1904,ABU23842.1,None,Conserved hypothetical protein
PMN2A_1905,ABU23843.1,None,Hypothetical protein
PMN2A_1906,ABU23844.1,None,Hypothetical protein
PMN2A_1907,ABU23845.1,None,Conserved hypothetical protein
PMN2A_1450,AAZ58938.1,None,"conserved hypothetical protein, transport associated"
PMN2A_1460,AAZ58948.1,None,Exodeoxyribonuclease VII large subunit
PMN2A_1461,AAZ58949.1,None,exodeoxyribonuclease VII small subunit
PMN2A_1462,AAZ58950.1,None,conserved hypothetical protein
PMN2A_1908,ABU23846.1,None,Conserved hypothetical protein
PMN2A_1470,AAZ58958.1,None,hypothetical protein
PMN2A_1472,AAZ58960.1,None,hypothetical protein
PMN2A_1481,AAZ58969.1,None,beta-N-acetylhexosaminidase
PMN2A_1910,ABU23848.1,None,Conserved hypothetical protein
PMN2A_1491,AAZ58979.1,None,unknown
PMN2A_1521,AAZ59009.1,None,conserved hypothetical protein
PMN2A_1911,ABU23849.1,None,Conserved hypothetical protein
PMN2A_1529,AAZ59017.1,None,hypothetical protein
PMN2A_1535,AAZ59023.1,None,N-acetylglucosamine 6-phosphate deacetylase
PMN2A_1913,ABU23851.1,None,Conserved hypothetical protein
PMN2A_1914,ABU23852.1,None,Conserved hypothetical protein
PMN2A_1589,AAZ59077.1,None,conserved hypothetical membrane protein
PMN2A_1915,ABU23853.1,None,Conserved hypothetical protein
PMN2A_1916,ABU23854.1,None,Conserved hypothetical protein
PMN2A_1626,AAZ59114.1,None,conserved hypothetical protein
PMN2A_1917,ABU23855.1,None,Conserved hypothetical protein
PMN2A_1918,ABU23856.1,None,Conserved hypothetical protein
PMN2A_1670,AAZ59158.1,None,hypothetical protein
PMN2A_1672,AAZ59160.1,None,phycoerythrin class III alpha chain CpeA
PMN2A_1673,AAZ59161.1,None,putative bilin biosynthesis protein cpeZ
PMN2A_1674,AAZ59162.1,None,PBS lyase HEAT-like repeat
PMN2A_1675,AAZ59163.1,None,possible bilin biosynthesis protein CpeY
PMN2A_1676,AAZ59164.1,None,CpeT protein-like protein
PMN2A_1678,AAZ59166.1,None,phycoerythrin class III gamma chain
PMN2A_1919,ABU23857.1,None,Conserved hypothetical protein
PMN2A_1684,AAZ59172.1,None,hypothetical protein
PMN2A_1688,AAZ59176.1,None,haloacid dehalogenase/epoxide hydrolase family
PMN2A_1920,ABU23858.1,None,Conserved hypothetical protein
PMN2A_1707,AAZ59195.1,None,conserved hypothetical protein
PMN2A_1710,AAZ59198.1,None,hypothetical protein
PMN2A_1714,AAZ59202.1,None,hypothetical protein
PMN2A_1924,ABU23860.1,None,Hypothetical protein
PMN2A_1720,AAZ59208.1,None,conserved hypothetical protein
PMN2A_1927,ABU23863.1,None,Hypothetical protein
PMN2A_1725,AAZ59213.1,None,hypothetical protein
PMN2A_1928,ABU23864.1,None,Conserved hypothetical protein
PMN2A_1749,AAZ59237.1,None,hypothetical protein
PMN2A_1929,ABU23865.1,None,Conserved hypothetical protein
PMN2A_1930,ABU23866.1,None,Conserved hypothetical protein
PMN2A_1932,ABU23867.1,None,Hypothetical protein
PMN2A_1764,AAZ59252.1,None,putative chloroplast membrane-associated 30 kD protein
PMN2A_1782,AAZ59270.1,None,hypothetical protein
PMN2A_1933,ABU23868.1,None,Hypothetical protein
PMN2A_1934,ABU23869.1,None,Conserved hypothetical protein
PMN2A_1843,AAZ59331.1,None,hypothetical protein
PMN2A_1849,AAZ59337.1,None,conserved hypothetical protein
PMN2A_1935,ABU23870.1,None,Hypothetical protein
PMN2A_0010,AAZ57502.1,None,cytochrome c
PMN2A_1936,ABU23871.1,None,Conserved hypothetical protein
PMN2A_0050,AAZ57542.1,None,3-octaprenyl-4hydroxybenzoate decarboxylase
PMN2A_0060,AAZ57552.1,None,hypothetical protein
PMN2A_0071,AAZ57563.1,None,conserved hypothetical protein
PMN2A_1938,ABU23873.1,None,Conserved hypothetical protein
PMN2A_0081,AAZ57573.1,None,conserved hypothetical protein
PMN2A_0090,AAZ57582.1,None,unknown
PMN2A_1939,ABU23874.1,None,Conserved hypothetical protein
PMN2A_0091,AAZ57583.1,None,conserved hypothetical protein
PMN2A_0107,AAZ57599.1,None,lactoylglutathione lyase family enzyme
PMN2A_1940,ABU23875.1,None,Conserved hypothetical protein
PMN2A_0118,AAZ57610.1,None,hypothetical protein
PMN2A_0119,AAZ57611.1,None,conserved hypothetical protein
PMN2A_1941,ABU23876.1,None,Conserved hypothetical protein
PMN2A_1942,ABU23877.1,None,Conserved hypothetical protein
PMN2A_1943,ABU23878.1,None,Conserved hypothetical protein
PMN2A_0120,AAZ57612.1,None,hypothetical protein
PMN2A_0123,AAZ57615.1,None,conserved hypothetical protein
PMN2A_1945,ABU23880.1,None,Hypothetical protein
PMN2A_1946,ABU23881.1,None,Hypothetical protein
PMN2A_0126,AAZ57618.1,None,hypothetical protein
PMN2A_1947,ABU23882.1,None,Conserved hypothetical protein
PMN2A_0132,AAZ57624.1,None,hypothetical protein
PMN2A_0159,AAZ57651.1,None,conserved hypothetical protein
PMN2A_0168,AAZ57660.1,None,hypothetical protein
PMN2A_0188,AAZ57680.1,None,fructose-bisphosphate aldolase
PMN2A_0192,AAZ57684.1,None,hypothetical protein
PMN2A_0197,AAZ57689.1,None,hypothetical protein
PMN2A_0213,AAZ57705.1,None,possible gram-negative pili assembly chaperone
PMN2A_0219,AAZ57711.1,None,conserved hypothetical protein
PMN2A_0220,AAZ57712.1,None,conserved hypothetical protein
PMN2A_1949,ABU23883.1,None,Conserved hypothetical protein
PMN2A_0229,AAZ57721.1,None,conserved hypothetical protein
PMN2A_0230,AAZ57722.1,None,hypothetical protein
PMN2A_0231,AAZ57723.1,None,2-hydroxy-3-oxopropionate reductase
PMN2A_0237,AAZ57729.1,None,"Mn2+ and Fe2+ transporter, NRAMP family"
PMN2A_0240,AAZ57732.1,None,conserved hypothetical protein
PMN2A_0241,AAZ57733.1,None,conserved hypothetical protein
PMN2A_1950,ABU23884.1,None,Conserved hypothetical protein
PMN2A_1951,ABU23885.1,None,Hypothetical protein
PMN2A_0253,AAZ57745.1,None,conserved hypothetical protein
PMN2A_1952,ABU23886.1,None,Conserved hypothetical protein
PMN2A_0255,AAZ57747.1,None,uncharacterized membrane protein
PMN2A_0277,AAZ57769.1,None,conserved hypothetical protein
PMN2A_1953,ABU23887.1,None,Conserved hypothetical protein
PMN2A_0284,AAZ57776.1,None,hypothetical protein
PMN2A_1954,ABU23888.1,None,Conserved hypothetical protein
PMN2A_1955,ABU23889.1,None,Conserved hypothetical protein
PMN2A_1956,ABU23890.1,None,Conserved hypothetical protein
PMN2A_0315,AAZ57807.1,None,conserved hypothetical protein
PMN2A_1957,ABU23891.1,None,Hypothetical protein
PMN2A_0343,AAZ57835.1,None,hypothetical protein
PMN2A_1958,ABU23892.1,None,Conserved hypothetical protein
PMN2A_1959,ABU23893.1,None,Conserved hypothetical protein
PMN2A_1961,ABU23895.1,None,Conserved hypothetical protein
PMN2A_0347,AAZ57839.1,None,hypothetical protein
PMN2A_0348,AAZ57840.1,None,hypothetical protein
PMN2A_0349,AAZ57841.1,None,hypothetical protein
PMN2A_1964,ABU23898.1,None,Conserved hypothetical protein
PMN2A_1965,ABU23899.1,None,Hypothetical protein
PMN2A_0351,AAZ57843.1,None,hypothetical protein
PMN2A_0357,AAZ57849.1,None,exonuclease RecJ
PMN2A_0361,AAZ57853.1,None,phenylacrylic acid decarboxylase
PMN2A_0368,AAZ57860.1,None,conserved hypothetical protein
PMN2A_0370,AAZ57862.1,None,hypothetical protein
PMN2A_0371,AAZ57863.1,None,conserved hypothetical protein
PMN2A_1967,ABU23901.1,None,Conserved hypothetical protein
