[locus_tag=PMT_0019],[protein_id=CAE20194.1],[gene=pilT1],[protein=homologous to PilT1 protein]
[locus_tag=PMT_0020],[protein_id=CAE20195.1],"[gene=gspE1,pilB1]",[protein=General secretion pathway protein E]
[locus_tag=PMT_2275],[protein_id=CAX31797.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2276],[protein_id=CAX31798.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2277],[protein_id=CAX31799.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2278],[protein_id=CAX31800.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2279],[protein_id=CAX31801.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2281],[protein_id=CAX31803.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0067],[protein_id=CAE20242.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_0070],[protein_id=CAE20245.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2282_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_0072],[protein_id=CAE20247.1],[gene=None],[protein=possible FAD binding domain]
[locus_tag=PMT_0090],[protein_id=CAE20265.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_0091],[protein_id=CAE20266.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0092],[protein_id=CAE20267.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_0095],[protein_id=CAE20270.1],[gene=None],[protein=capsular polysaccharide biosynthesis protein]
[locus_tag=PMT_0097],[protein_id=CAE20272.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0098],[protein_id=CAE20273.1],[gene=None],[protein=LPS biosynthesis protein]
[locus_tag=PMT_0101],[protein_id=CAE20276.1],[gene=None],[protein=acetyltransferase]
[locus_tag=PMT_0102],[protein_id=CAE20277.1],[gene=None],"[protein=Surface polysaccharide biosynthesis protein, possible cytidylyltransferase]"
[locus_tag=PMT_0104],[protein_id=CAE20279.1],[gene=None],"[protein=surface polysaccharide biosynthesis protein, transferase]"
[locus_tag=PMT_0105],[protein_id=CAE20280.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_0106],[protein_id=CAE20281.1],[gene=neuB],[protein=N-acetylneuraminate synthase]
[locus_tag=PMT_0109],[protein_id=CAE20284.1],[gene=None],"[protein=ABC transporter, membrane component]"
[locus_tag=PMT_0110],[protein_id=CAE20285.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_0111],[protein_id=CAE20286.1],[gene=None],[protein=putative SecA-type protein translocase]
[locus_tag=PMT_2283],[protein_id=CAX31805.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2284],[protein_id=CAX31806.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0116],[protein_id=CAE20291.1],[gene=None],[protein=possible glycosyltransferase]
[locus_tag=PMT_0117],[protein_id=CAE20292.1],[gene=cysE],[protein=Serine acetyltransferase]
[locus_tag=PMT_2285],[protein_id=CAX31807.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2286],[protein_id=CAX31808.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0131],[protein_id=CAE20306.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0133],[protein_id=CAE20308.1],[gene=sdhB],"[protein=succinate dehydrogenase/fumarate reductase, iron-sulfur binding]"
[locus_tag=PMT_0134],[protein_id=CAE20309.1],[gene=None],[protein=Iron/Ascorbate oxidoreductase]
[locus_tag=PMT_0139],[protein_id=CAE20314.1],[gene=None],[protein=possible prophage protein]
[locus_tag=PMT_0153],[protein_id=CAE20328.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0159],[protein_id=CAE20334.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2287],[protein_id=CAX31809.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2288],[protein_id=CAX31810.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2289],[protein_id=CAX31811.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_0162],[protein_id=CAE20337.1],[gene=None],"[protein=possible Bacterial regulatory proteins, crp fa]"
[locus_tag=PMT_2290_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2291],[protein_id=CAX31813.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_0167],[protein_id=CAE20342.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_0168],[protein_id=CAE20343.1],[gene=None],"[protein=possible Negative factor, (F-Protein) or Nef.]"
[locus_tag=PMT_0169],[protein_id=CAE20344.1],[gene=None],[protein=possible Chitin synthase]
[locus_tag=PMT_0171],[protein_id=CAE20346.1],[gene=None],[protein=possible Penicillin amidase]
[locus_tag=PMT_0173],[protein_id=CAE20348.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2292],[protein_id=CAX31814.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2293],[protein_id=CAX31815.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2294],[protein_id=CAX31816.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2296],[protein_id=CAX31817.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2297],[protein_id=CAX31818.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2300],[protein_id=CAX31819.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2301],[protein_id=CAX31820.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2302_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2303],[protein_id=CAX31822.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2304],[protein_id=CAX31823.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2305],[protein_id=CAX31824.1],[gene=None],[protein=Hypothetical protein]
