Locus tag,Protein ID,Gene,Protein name,Hit #1 locus tag,Protein ID,Gene,Protein name,E-value,Hit #2 locus tag,Protein ID,Gene,Protein name,E-value,Hit #3 locus tag,Protein ID,Gene,Protein name,E-value
PMM0001,CAE18460.1,dnaN,"DNA polymerase III, beta chain",WB44_11300,AKN61578.1,None,DNA polymerase III subunit beta,8.27185E-152,,,,,,,,,,
PMM0002,CAE18461.1,None,conserved hypothetical protein,WB44_11305,AKN61579.1,None,RNA methyltransferase,9.28802E-72,,,,,,,,,,
PMM0003,CAE18462.1,purL,phosphoribosylformylglycinamidine synthetase II,WB44_11310,AKN61580.1,None,phosphoribosylformylglycinamidine synthase,0.00000E+00,,,,,,,,,,
PMM0004,CAE18463.1,purF,Glutamine amidotransferase class-II:Phosphoribosyl transferase,WB44_11315,AKN61581.1,None,amidophosphoribosyltransferase,3.21042E-80,WB44_12020,AKN61699.1,None,glutamine amidotransferase,2.60334E-20,,,,,
PMM0005,CAE18464.1,None,"DNA gyrase/topoisomerase IV, subunit A",WB44_11320,AKN61582.1,None,topoisomerase IV,0.00000E+00,WB44_02350,AKN60150.1,None,DNA gyrase subunit A,0.00000E+00,,,,,
PMM0006,CAE18465.1,None,conserved hypothetical protein,WB44_11325,AKN61583.1,None,hypothetical protein,1.67089E-59,,,,,,,,,,
PMM0007,CAE18466.1,None,conserved hypothetical protein,WB44_11330,AKN61584.1,None,epoxyqueuosine reductase,1.11788E-122,,,,,,,,,,
PMM0008,CAE18467.1,None,conserved hypothetical protein,WB44_11340,AKN61586.1,None,hypothetical protein,4.10801E-134,,,,,,,,,,
PMM0009,CAE18468.1,nusB,Antitermination protein NusB,WB44_11345,AKN62398.1,None,antitermination protein NusB,1.60963E-68,,,,,,,,,,
PMM0010,CAE18469.1,ftsY,signal recognition particle docking protein FtsY,WB44_11350,AKN61587.1,None,cell division protein FtsY,3.69734E-170,WB44_00975,AKN59932.1,None,signal recognition particle,1.02115E-33,,,,,
PMM0011,CAE18470.1,None,Protein phosphatase 2C domain,WB44_11355,AKN61588.1,None,serine/threonine protein phosphatase,1.81861E-143,,,,,,,,,,
PMM0012,CAE18471.1,argH,Fumarate lyase:Delta crystallin,WB44_11360,AKN61589.1,None,argininosuccinate lyase,0.00000E+00,WB44_08555,AKN61141.1,None,adenylosuccinate lyase,7.91341E-13,,,,,
PMM0013,CAE18472.1,None,RNA-binding region RNP-1 (RNA recognition motif),WB44_11365,AKN61590.1,None,RNA-binding protein,2.52740E-41,WB44_02705,AKN60208.1,None,RNA-binding protein,1.96198E-30,,,,,
PMM0014,CAE18473.1,None,conserved hypothetical protein,WB44_11370,AKN62399.1,None,tRNA-dihydrouridine synthase A,6.54926E-138,WB44_00140,AKN59793.1,None,tRNA-dihydrouridine synthase,5.83922E-19,,,,,
