[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[evalue=0.00000E+00]
[locus_tag=PMT_0002],[protein_id=CAE20177.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0002],[protein_id=CAK22428.1],[gene=None],[protein=RNA metabolism-related protein],[evalue=7.72917E-95]
[locus_tag=PMT_0003],[protein_id=CAE20178.1],[gene=purL],[protein=phosphoribosylformylglycinamide synthetase II],[locus_tag=SynWH7803_0003],[protein_id=CAK22429.1],[gene=purL],"[protein=Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain]",[evalue=0.00000E+00]
[locus_tag=PMT_0004],[protein_id=CAE20179.1],[gene=purF],[protein=Glutamine amidotransferase class-II:Phosphoribosyl transferase],[locus_tag=SynWH7803_0004],[protein_id=CAK22430.1],[gene=purF],[protein=Glutamine phosphoribosyl pyrophosphate amidotransferase],[evalue=2.81901E-80],[locus_tag=SynWH7803_0199],[protein_id=CAK22625.1],[gene=glmS],[protein=Glucosamine-6-phosphate synthetase],[evalue=1.22719E-16]
[locus_tag=PMT_0005],[protein_id=CAE20180.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=SynWH7803_0005],[protein_id=CAK22431.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00],[locus_tag=SynWH7803_1589],[protein_id=CAK24015.1],[gene=gyrA],[protein=DNA gyrase subunit A],[evalue=0.00000E+00]
[locus_tag=PMT_0006],[protein_id=CAE20181.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0006],[protein_id=CAK22432.1],[gene=None],[protein=Secreted Tetratricopeptide protein],[evalue=1.01979E-138]
[locus_tag=PMT_0007],[protein_id=CAE20182.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0007],[protein_id=CAK22433.1],[gene=None],[protein=Uncharacterized Fe-S protein],[evalue=1.45002E-160]
[locus_tag=PMT_0008],[protein_id=CAE20183.1],[gene=None],[protein=None],[locus_tag=SynWH7803_0008],[protein_id=CAK22434.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=1.07182E-82]
[locus_tag=PMT_0009],[protein_id=CAE20184.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0009],[protein_id=CAK22435.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=5.10003E-146]
[locus_tag=PMT_0010],[protein_id=CAE20185.1],[gene=nusB],[protein=Antitermination protein NusB],[locus_tag=SynWH7803_0010],[protein_id=CAK22436.1],[gene=nusB],"[protein=Transcription termination factor, NusB]",[evalue=9.86623E-92]
[locus_tag=PMT_0011],[protein_id=CAE20186.1],[gene=ftsY],[protein=signal recognition particle docking protein FtsY],[locus_tag=SynWH7803_0011],[protein_id=CAK22437.1],[gene=ftsY],"[protein=Signal recognition particle GTPase, FtsY]",[evalue=0.00000E+00],[locus_tag=SynWH7803_1731],[protein_id=CAK24157.1],[gene=ffh],[protein=Signal recognition particle protein],[evalue=1.81942E-32]
[locus_tag=PMT_0012],[protein_id=CAE20187.1],[gene=None],[protein=Protein phosphatase 2C domain],[locus_tag=SynWH7803_0012],[protein_id=CAK22438.1],[gene=rsbU],"[protein=Serine phosphatase RsbU, regulator of sigma subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_0013],[protein_id=CAE20188.1],[gene=argH],[protein=Fumarate lyase:Delta crystallin],[locus_tag=SynWH7803_0013],[protein_id=CAK22439.1],[gene=argH],[protein=Argininosuccinate lyase],[evalue=0.00000E+00],[locus_tag=SynWH7803_2038],[protein_id=CAK24464.1],[gene=purB],[protein=Adenylosuccinate lyase],[evalue=1.14108E-13]
[locus_tag=PMT_0014],[protein_id=CAE20189.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[locus_tag=SynWH7803_0014],[protein_id=CAK22440.1],[gene=None],"[protein=RNA-binding protein, RRM domain]",[evalue=6.37155E-44],[locus_tag=SynWH7803_1514],[protein_id=CAK23940.1],[gene=rbpD],"[protein=RNA-binding protein, RRM domain]",[evalue=1.26103E-26]
[locus_tag=PMT_0015],[protein_id=CAE20190.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0015],[protein_id=CAK22441.1],[gene=dusA],[protein=tRNA-dihydrouridine synthase A],[evalue=4.17541E-174],[locus_tag=SynWH7803_0564],[protein_id=CAK22990.1],[gene=dus],[protein=Probable tRNA-dihydrouridine synthase],[evalue=1.25240E-17]
[locus_tag=PMT_0016],[protein_id=CAE20191.1],[gene=None],[protein=Domain of unknown function DUF25],[locus_tag=SynWH7803_0016],[protein_id=CAK22442.1],[gene=msrB],[protein=Peptide methionine sulfoxide reductase],[evalue=8.03741E-92],[locus_tag=SynWH7803_2126],[protein_id=CAK24552.1],[gene=msrB],[protein=Peptide methionine sulfoxide reductase MsrB],[evalue=3.41531E-42]
[locus_tag=PMT_0017],[protein_id=CAE20192.1],[gene=None],[protein=conserved hypohetical protein],[locus_tag=SynWH7803_0017],[protein_id=CAK22443.1],[gene=None],[protein=Predicted flavoprotein],[evalue=9.85599E-169]
[locus_tag=PMT_0018],[protein_id=CAE20193.1],[gene=pilC],[protein=pili biogenesis protein],[locus_tag=SynWH7803_0019],[protein_id=CAK22445.1],"[gene=pilC,pulF]","[protein=Type II secretory pathway, component PulF]",[evalue=0.00000E+00]
[locus_tag=PMT_0019],[protein_id=CAE20194.1],[gene=pilT1],[protein=homologous to PilT1 protein],[locus_tag=SynWH7803_0020],[protein_id=CAK22446.1],[gene=pilT],"[protein=Tfp pilus assembly protein, pilus retraction ATPase PilT]",[evalue=0.00000E+00],[locus_tag=SynWH7803_1841],[protein_id=CAK24267.1],[gene=pilT],[protein=Twitching motility protein],[evalue=5.92041E-85],[locus_tag=SynWH7803_0021],[protein_id=CAK22447.1],"[gene=pilB, gspE]","[protein=Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB]",[evalue=9.78735E-34]
[locus_tag=PMT_0020],[protein_id=CAE20195.1],"[gene=gspE1,pilB1]",[protein=General secretion pathway protein E],[locus_tag=SynWH7803_0021],[protein_id=CAK22447.1],"[gene=pilB, gspE]","[protein=Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB]",[evalue=0.00000E+00],[locus_tag=SynWH7803_0020],[protein_id=CAK22446.1],[gene=pilT],"[protein=Tfp pilus assembly protein, pilus retraction ATPase PilT]",[evalue=1.10847E-33],[locus_tag=SynWH7803_1841],[protein_id=CAK24267.1],[gene=pilT],[protein=Twitching motility protein],[evalue=7.44308E-33]
[locus_tag=PMT_0021],[protein_id=CAE20196.1],[gene=grpE],[protein=Heat shock protein GrpE],[locus_tag=SynWH7803_0022],[protein_id=CAK22448.1],[gene=grpE],"[protein=Molecular chaperone GrpE, heat shock protein]",[evalue=7.30974E-114]
[locus_tag=PMT_0022],[protein_id=CAE20197.1],[gene=dnaJ],[protein=DnaJ protein],[locus_tag=SynWH7803_0023],[protein_id=CAK22449.1],[gene=None],[protein=DnaJ-class molecular chaperone],[evalue=0.00000E+00],[locus_tag=SynWH7803_2100],[protein_id=CAK24526.1],[gene=dnaJ],[protein=DnaJ-class molecular chaperone],[evalue=4.27081E-22],[locus_tag=SynWH7803_2100],[protein_id=CAK24526.1],[gene=dnaJ],[protein=DnaJ-class molecular chaperone],[evalue=6.30365E-22]
[locus_tag=PMT_0023],[protein_id=CAE20198.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0024],[protein_id=CAK22450.1],[gene=None],[protein=Conserved hypothetical protein with conserved cysteine containing domain 1 Ccd1],[evalue=6.18208E-26]
[locus_tag=PMT_0024],[protein_id=CAE20199.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0025],[protein_id=CAK22451.1],[gene=engC],[protein=Probable GTPase engC],[evalue=1.36116E-136]
[locus_tag=PMT_0025],[protein_id=CAE20200.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0026],[protein_id=CAK22452.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.07360E-68]
[locus_tag=PMT_0026],[protein_id=CAE20201.1],[gene=murB],[protein=UDP-N-acetylenolpyruvoylglucosamine reductase],[locus_tag=SynWH7803_0027],[protein_id=CAK22453.1],[gene=murB],[protein=UDP-N-acetylmuramate dehydrogenase],[evalue=7.80761E-134]
